time,linear_connectedness
0.000000000000000000e+00,2.262948974735306606e+01
1.004016064257028107e-01,2.054096309200564008e+01
2.008032128514056214e-01,2.025275251065268023e+01
3.012048192771084043e-01,2.084150349776717093e+01
4.016064257028112428e-01,2.209489845127371410e+01
5.020080321285140812e-01,2.476176559184615300e+01
6.024096385542168086e-01,2.535976840616732986e+01
7.028112449799196471e-01,2.731355044850952751e+01
8.032128514056224855e-01,2.910492788740295822e+01
9.036144578313253239e-01,2.968108747962683580e+01
1.004016064257028162e+00,2.876452323305620240e+01
1.104417670682730890e+00,2.689155540013379309e+01
1.204819277108433617e+00,2.533077881528372899e+01
1.305220883534136567e+00,2.448157436931996145e+01
1.405622489959839294e+00,2.514217784812378298e+01
1.506024096385542244e+00,2.685736164933495829e+01
1.606425702811244971e+00,2.815680087457754510e+01
1.706827309236947698e+00,2.832141632852051671e+01
1.807228915662650648e+00,2.708639560226013643e+01
1.907630522088353375e+00,2.495494829014785765e+01
2.008032128514056325e+00,2.410522884273049726e+01
2.108433734939759052e+00,2.405128641298794534e+01
2.208835341365461780e+00,2.525429966586319708e+01
2.309236947791164507e+00,2.673101220149572299e+01
2.409638554216867234e+00,2.752778741376378591e+01
2.510040160642570406e+00,2.739755649151551609e+01
2.610441767068273133e+00,2.714871893355553922e+01
2.710843373493975861e+00,2.887302589184919555e+01
2.811244979919678588e+00,3.073416554057988037e+01
2.911646586345381316e+00,3.557396261038150698e+01
3.012048192771084487e+00,3.889796813464065650e+01
3.112449799196787215e+00,4.005849827572505717e+01
3.212851405622489942e+00,3.924720190340364212e+01
3.313253012048192669e+00,3.693627059661108092e+01
3.413654618473895397e+00,3.363984678813191209e+01
3.514056224899598568e+00,3.000384571615665052e+01
3.614457831325301296e+00,2.700819620797780019e+01
3.714859437751004023e+00,2.658983052647597489e+01
3.815261044176706751e+00,3.023957541339342825e+01
3.915662650602409478e+00,3.562779886984645827e+01
4.016064257028112650e+00,4.087596099868225252e+01
4.116465863453814933e+00,4.524622541981436541e+01
4.216867469879518104e+00,4.815416391452904321e+01
4.317269076305221276e+00,4.924838143170290294e+01
4.417670682730923559e+00,4.835760893006798966e+01
4.518072289156626731e+00,4.542366900356315540e+01
4.618473895582329014e+00,4.060424632560102509e+01
4.718875502008032186e+00,3.463159318030231049e+01
4.819277108433734469e+00,2.921158942502619027e+01
4.919678714859437640e+00,2.837197803757355175e+01
5.020080321285140812e+00,3.154246534567389304e+01
5.120481927710843095e+00,3.637299535241707105e+01
5.220883534136546267e+00,4.129800939839203977e+01
5.321285140562248550e+00,4.525622788329974355e+01
5.421686746987951722e+00,4.779872404306095746e+01
5.522088353413654893e+00,4.890868496120904041e+01
5.622489959839357176e+00,4.866468053258912363e+01
5.722891566265060348e+00,4.705977569851931719e+01
5.823293172690762631e+00,4.401946383137953234e+01
5.923694779116465803e+00,3.963013153233552543e+01
6.024096385542168974e+00,3.457646296264257302e+01
6.124497991967871258e+00,3.072442900878449734e+01
6.224899598393574429e+00,3.114062753806569361e+01
6.325301204819276712e+00,3.546338944493196976e+01
6.425702811244979884e+00,3.997306300046787442e+01
6.526104417670683056e+00,4.319451332759423678e+01
6.626506024096385339e+00,4.495668868201285306e+01
6.726907630522088510e+00,4.573958796552612682e+01
6.827309236947790794e+00,4.600720916042240560e+01
6.927710843373493965e+00,4.602888350241951088e+01
7.028112449799197137e+00,4.591568486873393340e+01
7.128514056224899420e+00,4.568532985054747542e+01
7.228915662650602592e+00,4.530417153138704833e+01
7.329317269076304875e+00,4.470627020544861807e+01
7.429718875502008046e+00,4.379969338559151737e+01
7.530120481927711218e+00,4.246997053693313262e+01
7.630522088353413501e+00,4.059076652000413077e+01
7.730923694779116673e+00,3.805477079573201138e+01
7.831325301204818956e+00,3.484194645336769725e+01
7.931726907630522128e+00,3.114038595249002128e+01
8.032128514056225299e+00,2.751718208443414682e+01
8.132530120481927582e+00,2.556217389835634890e+01
8.232931726907629866e+00,2.973410104092302930e+01
8.333333333333333925e+00,3.389199867928046217e+01
8.433734939759036209e+00,3.823134072863902588e+01
8.534136546184738492e+00,4.210090238609318192e+01
8.634538152610442552e+00,4.505168246074901361e+01
8.734939759036144835e+00,4.699952441152353799e+01
8.835341365461847118e+00,4.811615188244777386e+01
8.935742971887549402e+00,4.865274196658705819e+01
9.036144578313253461e+00,4.883157755063431438e+01
9.136546184738955745e+00,4.881087082228156504e+01
9.236947791164658028e+00,4.868848591951373805e+01
9.337349397590362088e+00,4.851758683795234361e+01
9.437751004016064371e+00,4.832134288647540643e+01
9.538152610441766655e+00,4.810267405959933740e+01
9.638554216867468938e+00,4.784881266600745420e+01
9.738955823293172998e+00,4.753151560236899797e+01
9.839357429718875281e+00,4.710374562357282002e+01
9.939759036144577564e+00,4.649348923089189611e+01
1.004016064257028162e+01,4.559578111298196035e+01
1.014056224899598391e+01,4.426593908906222197e+01
1.024096385542168619e+01,4.232230630912031444e+01
1.034136546184739025e+01,3.957793374086414673e+01
1.044176706827309253e+01,3.593635055916580967e+01
1.054216867469879482e+01,3.158620032628558860e+01
1.064257028112449710e+01,2.726314754652497285e+01
1.074297188755020116e+01,2.457722171099694464e+01
1.084337349397590344e+01,2.792279293288420661e+01
1.094377510040160573e+01,3.209976359316525674e+01
1.104417670682730979e+01,3.658180245791464813e+01
1.114457831325301207e+01,4.048511076849540302e+01
1.124497991967871435e+01,4.329957785747530608e+01
1.134538152610441841e+01,4.504378885052278747e+01
1.144578313253012070e+01,4.599990452277610586e+01
1.154618473895582298e+01,4.646428319544471464e+01
1.164658634538152526e+01,4.665328297511278777e+01
1.174698795180722932e+01,4.670079227898250451e+01
1.184738955823293161e+01,4.668187347681876531e+01
1.194779116465863389e+01,4.663522671699298172e+01
1.204819277108433795e+01,4.657875964658474288e+01
1.214859437751004023e+01,4.651931984117641861e+01
1.224899598393574252e+01,4.645855724983973545e+01
1.234939759036144658e+01,4.639635520682908520e+01
1.244979919678714886e+01,4.633267475742620434e+01
1.255020080321285114e+01,4.626827516133562312e+01
1.265060240963855342e+01,4.620458109840027561e+01
1.275100401606425748e+01,4.614287230058837252e+01
1.285140562248995977e+01,4.608288737549049330e+01
1.295180722891566205e+01,4.602080533951961883e+01
1.305220883534136611e+01,4.594637949151646694e+01
1.315261044176706839e+01,4.583876666539676847e+01
1.325301204819277068e+01,4.566038317396208868e+01
1.335341365461847296e+01,4.534811655333703584e+01
1.345381526104417702e+01,4.480203244790600081e+01
1.355421686746987930e+01,4.387501731288350726e+01
1.365461847389558159e+01,4.237641069996372067e+01
1.375502008032128565e+01,4.012349892450490074e+01
1.385542168674698793e+01,3.709835798423940645e+01
1.395582329317269021e+01,3.372639138792560232e+01
1.405622489959839427e+01,3.108878877124018558e+01
1.415662650602409656e+01,3.133252879908529209e+01
1.425702811244979884e+01,3.361555424498827449e+01
1.435742971887550112e+01,3.969246968565317957e+01
1.445783132530120518e+01,4.426602426415248459e+01
1.455823293172690747e+01,4.701642427953555625e+01
1.465863453815260975e+01,4.838165436946766818e+01
1.475903614457831381e+01,4.895259355007479485e+01
1.485943775100401609e+01,4.915162517407393494e+01
1.495983935742971838e+01,4.920611328951624586e+01
1.506024096385542244e+01,4.921739330063425655e+01
1.516064257028112472e+01,4.922315929954184099e+01
1.526104417670682700e+01,4.923374315386939060e+01
1.536144578313252929e+01,4.924913597401075549e+01
1.546184738955823335e+01,4.926573996681399592e+01
1.556224899598393563e+01,4.927865185604063214e+01
1.566265060240963791e+01,4.928240675608054744e+01
1.576305220883534197e+01,4.927140134700830032e+01
1.586345381526104426e+01,4.924037320264114470e+01
1.596385542168674654e+01,4.918495691808936243e+01
1.606425702811245060e+01,4.910221487420702857e+01
1.616465863453815288e+01,4.899102284050132994e+01
1.626506024096385516e+01,4.885222446493690995e+01
1.636546184738955745e+01,4.868852971073143010e+01
1.646586345381525973e+01,4.850419615855924604e+01
1.656626506024096201e+01,4.830457673330306534e+01
1.666666666666666785e+01,4.809562706515776398e+01
1.676706827309237013e+01,4.788344999282762160e+01
1.686746987951807242e+01,4.767392330159470504e+01
1.696787148594377470e+01,4.747242807609769244e+01
1.706827309236947698e+01,4.728367419301290653e+01
1.716867469879517927e+01,4.711160847075351654e+01
1.726907630522088510e+01,4.695938757778578321e+01
1.736947791164658739e+01,4.682939807532152798e+01
1.746987951807228967e+01,4.672330945752750608e+01
1.757028112449799195e+01,4.664214757651022580e+01
1.767068273092369424e+01,4.658637949115691157e+01
1.777108433734939652e+01,4.655600276773337498e+01
1.787148594377509880e+01,4.655063436129427856e+01
1.797188755020080464e+01,4.656959432580579517e+01
1.807228915662650692e+01,4.661198219882982841e+01
1.817269076305220921e+01,4.667674316640707133e+01
1.827309236947791149e+01,4.676272411019728992e+01
1.837349397590361377e+01,4.686871540686799875e+01
1.847389558232931606e+01,4.699348145752854577e+01
1.857429718875501834e+01,4.713577703493837845e+01
1.867469879518072418e+01,4.729434986433320631e+01
1.877510040160642646e+01,4.746792759572871034e+01
1.887550200803212874e+01,4.765518783775264922e+01
1.897590361445783103e+01,4.785470730137426187e+01
1.907630522088353331e+01,4.806488415067576625e+01
1.917670682730923559e+01,4.828382218332073705e+01
1.927710843373493788e+01,4.850916055991260123e+01
1.937751004016064371e+01,4.873782020794924108e+01
1.947791164658634600e+01,4.896562541961184678e+01
1.957831325301204828e+01,4.918673401203302120e+01
1.967871485943775056e+01,4.939278151279668094e+01
1.977911646586345285e+01,4.957160308474309574e+01
1.987951807228915513e+01,4.970535021252018737e+01
1.997991967871486096e+01,4.976777021303106352e+01
2.008032128514056325e+01,4.972038583081895524e+01
2.018072289156626553e+01,4.950735064383326289e+01
2.028112449799196781e+01,4.904898938735627922e+01
2.038152610441767010e+01,4.823475320977080116e+01
2.048192771084337238e+01,4.691817402642110579e+01
2.058232931726907466e+01,4.492068430331463702e+01
2.068273092369478050e+01,4.205978119929226722e+01
2.078313253012048278e+01,3.823031197833073946e+01
2.088353413654618507e+01,3.357477140447382880e+01
2.098393574297188735e+01,2.874548323726813237e+01
2.108433734939758963e+01,2.620822321272866517e+01
2.118473895582329192e+01,2.930170603790936212e+01
2.128514056224899420e+01,3.275242961460648417e+01
2.138554216867470004e+01,3.685675757526335161e+01
2.148594377510040232e+01,4.075953218726076699e+01
2.158634538152610460e+01,4.387082904444415021e+01
2.168674698795180689e+01,4.605164554021987300e+01
2.178714859437750917e+01,4.745419836112989032e+01
2.188755020080321145e+01,4.831786394697572007e+01
2.198795180722891729e+01,4.885470245021899416e+01
2.208835341365461957e+01,4.921454536293310866e+01
2.218875502008032186e+01,4.948959675573716765e+01
2.228915662650602414e+01,4.973076176763398593e+01
2.238955823293172642e+01,4.996325596027542559e+01
2.248995983935742871e+01,5.019791256883816288e+01
2.259036144578313099e+01,5.043827502923148387e+01
2.269076305220883683e+01,5.068460381778853474e+01
2.279116465863453911e+01,5.093593087633013283e+01
2.289156626506024139e+01,5.119100249791414114e+01
2.299196787148594368e+01,5.144864970907951829e+01
2.309236947791164596e+01,5.170789644713196509e+01
2.319277108433734824e+01,5.196796814788145014e+01
2.329317269076305053e+01,5.222827499174076848e+01
2.339357429718875636e+01,5.248839705606445705e+01
2.349397590361445864e+01,5.274807496402902274e+01
2.359437751004016093e+01,5.300720041022179174e+01
2.369477911646586321e+01,5.326580009679440053e+01
2.379518072289156549e+01,5.352400799915589857e+01
2.389558232931726778e+01,5.378202605111957979e+01
2.399598393574297006e+01,5.404008209770375259e+01
2.409638554216867590e+01,5.429838027814171397e+01
2.419678714859437818e+01,5.455706557765859088e+01
2.429718875502008046e+01,5.481619806561472785e+01
2.439759036144578275e+01,5.507571771981447739e+01
2.449799196787148503e+01,5.533543887969134545e+01
2.459839357429718731e+01,5.559504220520923923e+01
2.469879518072289315e+01,5.585406908406411475e+01
2.479919678714859543e+01,5.611193002957773501e+01
2.489959839357429772e+01,5.636790662562096799e+01
2.500000000000000000e+01,5.662116095012088834e+01
