time,linear_potential
0.000000000000000000e+00,1.306899454656700073e+02
1.004016064257028107e-01,1.024357294275578170e+02
2.008032128514056214e-01,9.463869104961348455e+01
3.012048192771084043e-01,9.265586672080863195e+01
4.016064257028112428e-01,9.259473053183468494e+01
5.020080321285140812e-01,9.239390345895435530e+01
6.024096385542168086e-01,9.835347089510365493e+01
7.028112449799196471e-01,1.059320342691665928e+02
8.032128514056224855e-01,1.128032592653142814e+02
9.036144578313253239e-01,1.168971999192605722e+02
1.004016064257028162e+00,1.177129370205961720e+02
1.104417670682730890e+00,1.151646772306382900e+02
1.204819277108433617e+00,1.092723347432065282e+02
1.305220883534136567e+00,1.048302643924138664e+02
1.405622489959839294e+00,1.050823192830964388e+02
1.506024096385542244e+00,1.045037429498615893e+02
1.606425702811244971e+00,1.036211198573238477e+02
1.706827309236947698e+00,1.019163264929208879e+02
1.807228915662650648e+00,9.861303420704615519e+01
1.907630522088353375e+00,9.295894378406975989e+01
2.008032128514056325e+00,8.370040426168873182e+01
2.108433734939759052e+00,8.573687811066346853e+01
2.208835341365461780e+00,8.746609143614855952e+01
2.309236947791164507e+00,9.003743039533772219e+01
2.409638554216867234e+00,9.317164732174778408e+01
2.510040160642570406e+00,9.627793204717528397e+01
2.610441767068273133e+00,9.881390620384877366e+01
2.710843373493975861e+00,1.017063190411498255e+02
2.811244979919678588e+00,1.158298390879988204e+02
2.911646586345381316e+00,1.287137989632336712e+02
3.012048192771084487e+00,1.381318153155394270e+02
3.112449799196787215e+00,1.430135228902183542e+02
3.212851405622489942e+00,1.438050711066694305e+02
3.313253012048192669e+00,1.415955960070600099e+02
3.413654618473895397e+00,1.371321657754313037e+02
3.514056224899598568e+00,1.307851597944761295e+02
3.614457831325301296e+00,1.226479664860010246e+02
3.714859437751004023e+00,1.158715069436393321e+02
3.815261044176706751e+00,1.151743499766516976e+02
3.915662650602409478e+00,1.151699775601471600e+02
4.016064257028112650e+00,1.159976455057955604e+02
4.116465863453814933e+00,1.173560623299069903e+02
4.216867469879518104e+00,1.187880547504568653e+02
4.317269076305221276e+00,1.197991500007911014e+02
4.417670682730923559e+00,1.198588224333976484e+02
4.518072289156626731e+00,1.183285737629391861e+02
4.618473895582329014e+00,1.145850763327582200e+02
4.718875502008032186e+00,1.081276864817122458e+02
4.819277108433734469e+00,9.866968389509469262e+01
4.919678714859437640e+00,9.377050103735000164e+01
5.020080321285140812e+00,9.446244949918894918e+01
5.120481927710843095e+00,9.603569517182356208e+01
5.220883534136546267e+00,9.803258230511829652e+01
5.321285140562248550e+00,9.997939215390169920e+01
5.421686746987951722e+00,1.016674263474069022e+02
5.522088353413654893e+00,1.029945755273743657e+02
5.622489959839357176e+00,1.038472183974498080e+02
5.722891566265060348e+00,1.039838610715775218e+02
5.823293172690762631e+00,1.030018405220366162e+02
5.923694779116465803e+00,1.005559766628381198e+02
6.024096385542168974e+00,9.685227260031979313e+01
6.124497991967871258e+00,9.481614249785758375e+01
6.224899598393574429e+00,1.053742232774558545e+02
6.325301204819276712e+00,1.162138061485473628e+02
6.425702811244979884e+00,1.246884570643493930e+02
6.526104417670683056e+00,1.296065634612014890e+02
6.626506024096385339e+00,1.316218426789500882e+02
6.726907630522088510e+00,1.319975957595070781e+02
6.827309236947790794e+00,1.317000867756111404e+02
6.927710843373493965e+00,1.312434134499343656e+02
7.028112449799197137e+00,1.308251784980942602e+02
7.128514056224899420e+00,1.304792814705792807e+02
7.228915662650602592e+00,1.301669906782293253e+02
7.329317269076304875e+00,1.298114645308031072e+02
7.429718875502008046e+00,1.292950555117249394e+02
7.530120481927711218e+00,1.284356181507781969e+02
7.630522088353413501e+00,1.269575456089795296e+02
7.730923694779116673e+00,1.244839173208651317e+02
7.831325301204818956e+00,1.205860377072828840e+02
7.931726907630522128e+00,1.149353517835330933e+02
8.032128514056225299e+00,1.072915997736736529e+02
8.132530120481927582e+00,1.028563683463080167e+02
8.232931726907629866e+00,1.024155294630090509e+02
8.333333333333333925e+00,1.027373486500490571e+02
8.433734939759036209e+00,1.038583944156102064e+02
8.534136546184738492e+00,1.053977239997755930e+02
8.634538152610442552e+00,1.069625304984430585e+02
8.734939759036144835e+00,1.082379892789344638e+02
8.835341365461847118e+00,1.091279295880647027e+02
8.935742971887549402e+00,1.096706706993983005e+02
9.036144578313253461e+00,1.099767181114205812e+02
9.136546184738955745e+00,1.101600840710872973e+02
9.236947791164658028e+00,1.103074545046072501e+02
9.337349397590362088e+00,1.104719850594309776e+02
9.437751004016064371e+00,1.106800983348872336e+02
9.538152610441766655e+00,1.109406437904238913e+02
9.638554216867468938e+00,1.112513999157059459e+02
9.738955823293172998e+00,1.116006872000573651e+02
9.839357429718875281e+00,1.119627448509205294e+02
9.939759036144577564e+00,1.122852254129907976e+02
1.004016064257028162e+01,1.124642090510521797e+02
1.014056224899598391e+01,1.123052971233430100e+02
1.024096385542168619e+01,1.114760477670616723e+02
1.034136546184739025e+01,1.094777368005656086e+02
1.044176706827309253e+01,1.056999763566453225e+02
1.054216867469879482e+01,9.959799546652985214e+01
1.064257028112449710e+01,9.054257133868085816e+01
1.074297188755020116e+01,8.949982570008995708e+01
1.084337349397590344e+01,8.997428439135497058e+01
1.094377510040160573e+01,9.061679046404937310e+01
1.104417670682730979e+01,9.124691595175484338e+01
1.114457831325301207e+01,9.171781132960887817e+01
1.124497991967871435e+01,9.193347069764222113e+01
1.134538152610441841e+01,9.185397282428299093e+01
1.144578313253012070e+01,9.150014634600961472e+01
1.154618473895582298e+01,9.093603309488408115e+01
1.164658634538152526e+01,9.023996071303911037e+01
1.174698795180722932e+01,8.948560917120860836e+01
1.184738955823293161e+01,8.873406301669268714e+01
1.194779116465863389e+01,8.803278683467617327e+01
1.204819277108433795e+01,8.741756732765912830e+01
1.214859437751004023e+01,8.691405694453204944e+01
1.224899598393574252e+01,8.654018035071169379e+01
1.234939759036144658e+01,8.630734673178226046e+01
1.244979919678714886e+01,8.622117505553751471e+01
1.255020080321285114e+01,8.628279572988664370e+01
1.265060240963855342e+01,8.648957625727240384e+01
1.275100401606425748e+01,8.683748939212881623e+01
1.285140562248995977e+01,8.732320436288320309e+01
1.295180722891566205e+01,8.794700845995124894e+01
1.305220883534136611e+01,8.871625681263252261e+01
1.315261044176706839e+01,8.964858325295601560e+01
1.325301204819277068e+01,9.077464483798105732e+01
1.335341365461847296e+01,9.213485182063182322e+01
1.345381526104417702e+01,9.376519478972655008e+01
1.355421686746987930e+01,9.565818680431956977e+01
1.365461847389558159e+01,9.770658230271772027e+01
1.375502008032128565e+01,9.966308960547348761e+01
1.385542168674698793e+01,1.012724280652113009e+02
1.395582329317269021e+01,1.023424460318171469e+02
1.405622489959839427e+01,1.119543034574098073e+02
1.415662650602409656e+01,1.260490015280358449e+02
1.425702811244979884e+01,1.377977296274008552e+02
1.435742971887550112e+01,1.453596060287418368e+02
1.445783132530120518e+01,1.488516734025572816e+02
1.455823293172690747e+01,1.496916683192040978e+02
1.465863453815260975e+01,1.492373129767312321e+02
1.475903614457831381e+01,1.482807019371241779e+02
1.485943775100401609e+01,1.472163189483583778e+02
1.495983935742971838e+01,1.461736876496353545e+02
1.506024096385542244e+01,1.451710136863335094e+02
1.516064257028112472e+01,1.441933030566267462e+02
1.526104417670682700e+01,1.432254718739754651e+02
1.536144578313252929e+01,1.422612020110331628e+02
1.546184738955823335e+01,1.413028481723813741e+02
1.556224899598393563e+01,1.403586290732588111e+02
1.566265060240963791e+01,1.394394622394451915e+02
1.576305220883534197e+01,1.385569330053652948e+02
1.586345381526104426e+01,1.377219570313812937e+02
1.596385542168674654e+01,1.369438340174297650e+02
1.606425702811245060e+01,1.362292700644239005e+02
1.616465863453815288e+01,1.355825313114190180e+02
1.626506024096385516e+01,1.350050951382731057e+02
1.636546184738955745e+01,1.344957946707921508e+02
1.646586345381525973e+01,1.340511448965645513e+02
1.656626506024096201e+01,1.336658944354773269e+02
1.666666666666666785e+01,1.333335321069148449e+02
1.676706827309237013e+01,1.330468277407241544e+02
1.686746987951807242e+01,1.327963700346974747e+02
1.696787148594377470e+01,1.325731318885713108e+02
1.706827309236947698e+01,1.323714778125246880e+02
1.716867469879517927e+01,1.321765600299725065e+02
1.726907630522088510e+01,1.319805006150863562e+02
1.736947791164658739e+01,1.318053834081745777e+02
1.746987951807228967e+01,1.316855642867976997e+02
1.757028112449799195e+01,1.315408081156786011e+02
1.767068273092369424e+01,1.313755657698943082e+02
1.777108433734939652e+01,1.311937237105212262e+02
1.787148594377509880e+01,1.309974921326371486e+02
1.797188755020080464e+01,1.307879716694065451e+02
1.807228915662650692e+01,1.305655745275562083e+02
1.817269076305220921e+01,1.303308509544917513e+02
1.827309236947791149e+01,1.300845406667263831e+02
1.837349397590361377e+01,1.298274425919019848e+02
1.847389558232931606e+01,1.295614090098566464e+02
1.857429718875501834e+01,1.292889982239337598e+02
1.867469879518072418e+01,1.290135543871866446e+02
1.877510040160642646e+01,1.287387449685277829e+02
1.887550200803212874e+01,1.284688610661483779e+02
1.897590361445783103e+01,1.282086171295109978e+02
1.907630522088353331e+01,1.279629754742412189e+02
1.917670682730923559e+01,1.277371590461308273e+02
1.927710843373493788e+01,1.275360399101273856e+02
1.937751004016064371e+01,1.273631483806001512e+02
1.947791164658634600e+01,1.272185185234214799e+02
1.957831325301204828e+01,1.270945400498312665e+02
1.967871485943775056e+01,1.269684726379548039e+02
1.977911646586345285e+01,1.267895837005543029e+02
1.987951807228915513e+01,1.264586845995511055e+02
1.997991967871486096e+01,1.257999729957072219e+02
2.008032128514056325e+01,1.245327820694194401e+02
2.018072289156626553e+01,1.222587190673415591e+02
2.028112449799196781e+01,1.185237840814055659e+02
2.038152610441767010e+01,1.129662581437820705e+02
2.048192771084337238e+01,1.054349397852756596e+02
2.058232931726907466e+01,9.921087184364631639e+01
2.068273092369478050e+01,9.919352826001211554e+01
2.078313253012048278e+01,1.001620856882512953e+02
2.088353413654618507e+01,1.021762717946535588e+02
2.098393574297188735e+01,1.046846904478960028e+02
2.108433734939758963e+01,1.071705426754585062e+02
2.118473895582329192e+01,1.092673917006791697e+02
2.128514056224899420e+01,1.108437921061335203e+02
2.138554216867470004e+01,1.119329601869234949e+02
