time,potential
0.000000000000000000e+00,1.675373287075074984e+02
1.004016064257028107e-01,1.570246963001362417e+02
2.008032128514056214e-01,1.539332461324290762e+02
3.012048192771084043e-01,1.540323492392653861e+02
4.016064257028112428e-01,1.556386822256679636e+02
5.020080321285140812e-01,1.577230598036010178e+02
6.024096385542168086e-01,1.595273744066226413e+02
7.028112449799196471e-01,1.607006947263983818e+02
8.032128514056224855e-01,1.613431202953593697e+02
9.036144578313253239e-01,1.617451486949921389e+02
1.004016064257028162e+00,1.620490080365595134e+02
1.104417670682730890e+00,1.621005286853948348e+02
1.204819277108433617e+00,1.615506552341289250e+02
1.305220883534136567e+00,1.601222204391845025e+02
1.405622489959839294e+00,1.578889839882644139e+02
1.506024096385542244e+00,1.553672167969354234e+02
1.606425702811244971e+00,1.532907203352402803e+02
1.706827309236947698e+00,1.521643673336222946e+02
1.807228915662650648e+00,1.518857151288762282e+02
1.907630522088353375e+00,1.517168955179099896e+02
2.008032128514056325e+00,1.507250152760139770e+02
2.108433734939759052e+00,1.485456167557690321e+02
2.208835341365461780e+00,1.459451908540567047e+02
2.309236947791164507e+00,1.445361317001666919e+02
2.409638554216867234e+00,1.456528356590712292e+02
2.510040160642570406e+00,1.492768318072138527e+02
2.610441767068273133e+00,1.538940216343666805e+02
2.710843373493975861e+00,1.574355777196800545e+02
2.811244979919678588e+00,1.586996357551606138e+02
2.911646586345381316e+00,1.580397806226161208e+02
3.012048192771084487e+00,1.566979457715522699e+02
3.112449799196787215e+00,1.557492455954770207e+02
3.212851405622489942e+00,1.556732548727971732e+02
3.313253012048192669e+00,1.564314965188949031e+02
3.413654618473895397e+00,1.576102305114451383e+02
3.514056224899598568e+00,1.585139454255722171e+02
3.614457831325301296e+00,1.583078163164547902e+02
3.714859437751004023e+00,1.563075090372520890e+02
3.815261044176706751e+00,1.523657713966329368e+02
3.915662650602409478e+00,1.471005012092842605e+02
4.016064257028112650e+00,1.417028633001826279e+02
4.116465863453814933e+00,1.373932302274270683e+02
4.216867469879518104e+00,1.349256495943527057e+02
4.317269076305221276e+00,1.344586331461999862e+02
4.417670682730923559e+00,1.357268288817506061e+02
4.518072289156626731e+00,1.382233727906589991e+02
4.618473895582329014e+00,1.412096065111903158e+02
4.718875502008032186e+00,1.436198883726053737e+02
4.819277108433734469e+00,1.441331388014529864e+02
4.919678714859437640e+00,1.416846804381405036e+02
5.020080321285140812e+00,1.362615456307457862e+02
5.120481927710843095e+00,1.292088242488140963e+02
5.220883534136546267e+00,1.225166055047671705e+02
5.321285140562248550e+00,1.177124085412820591e+02
5.421686746987951722e+00,1.153820313614003084e+02
5.522088353413654893e+00,1.154780808557472653e+02
5.622489959839357176e+00,1.178326864490371690e+02
5.722891566265060348e+00,1.223871627040920629e+02
5.823293172690762631e+00,1.290332742193963895e+02
5.923694779116465803e+00,1.371733384755632414e+02
6.024096385542168974e+00,1.453177649060900194e+02
6.124497991967871258e+00,1.513643213818398294e+02
6.224899598393574429e+00,1.538869881043098928e+02
6.325301204819276712e+00,1.532308500937688507e+02
6.425702811244979884e+00,1.509322963722574684e+02
6.526104417670683056e+00,1.483579641216054767e+02
6.626506024096385339e+00,1.461741816395291949e+02
6.726907630522088510e+00,1.445655052911530163e+02
6.827309236947790794e+00,1.435137472520378026e+02
6.927710843373493965e+00,1.429396406504976937e+02
7.028112449799197137e+00,1.427649696141914433e+02
7.128514056224899420e+00,1.429415173879046392e+02
7.228915662650602592e+00,1.434621247029654398e+02
7.329317269076304875e+00,1.443593414771476944e+02
7.429718875502008046e+00,1.456930444254016379e+02
7.530120481927711218e+00,1.475237754225794049e+02
7.630522088353413501e+00,1.498641409563492459e+02
7.730923694779116673e+00,1.526007703179178634e+02
7.831325301204818956e+00,1.553935214724341733e+02
7.931726907630522128e+00,1.575997164592063768e+02
8.032128514056225299e+00,1.583349207202602997e+02
8.132530120481927582e+00,1.567975210323851627e+02
8.232931726907629866e+00,1.528110138351917442e+02
8.333333333333333925e+00,1.471859020746632041e+02
8.433734939759036209e+00,1.414180764741344376e+02
8.534136546184738492e+00,1.368299180982045300e+02
8.634538152610442552e+00,1.339189968954814560e+02
8.734939759036144835e+00,1.324224961985513005e+02
8.835341365461847118e+00,1.317985685550834205e+02
8.935742971887549402e+00,1.315966780667055218e+02
9.036144578313253461e+00,1.315589854499955038e+02
9.136546184738955745e+00,1.315743398049596919e+02
9.236947791164658028e+00,1.316097354030142128e+02
9.337349397590362088e+00,1.316654491653290506e+02
9.437751004016064371e+00,1.317547939890297926e+02
9.538152610441766655e+00,1.318986197758577532e+02
9.638554216867468938e+00,1.321268126053509491e+02
9.738955823293172998e+00,1.324826786093251201e+02
9.839357429718875281e+00,1.330281125235009938e+02
9.939759036144577564e+00,1.338475122454112238e+02
1.004016064257028162e+01,1.350464493018195640e+02
1.014056224899598391e+01,1.367368196628856083e+02
1.024096385542168619e+01,1.389938578443630490e+02
1.034136546184739025e+01,1.417659220087016081e+02
1.044176706827309253e+01,1.447292441751814920e+02
1.054216867469879482e+01,1.471355690600207993e+02
1.064257028112449710e+01,1.478192406227915114e+02
1.074297188755020116e+01,1.456156514363214001e+02
1.084337349397590344e+01,1.401991429092084900e+02
1.094377510040160573e+01,1.326915676345464590e+02
1.104417670682730979e+01,1.251897097140158053e+02
1.114457831325301207e+01,1.194400471075829415e+02
1.124497991967871435e+01,1.159620501466721123e+02
1.134538152610441841e+01,1.142842805255721430e+02
1.144578313253012070e+01,1.136635636017285833e+02
1.154618473895582298e+01,1.135335145681967646e+02
1.164658634538152526e+01,1.135807987878054064e+02
1.174698795180722932e+01,1.136664794913493068e+02
1.184738955823293161e+01,1.137416513483438791e+02
1.194779116465863389e+01,1.137957235880684692e+02
1.204819277108433795e+01,1.138313600940509644e+02
1.214859437751004023e+01,1.138541986124180170e+02
1.224899598393574252e+01,1.138694191816086345e+02
1.234939759036144658e+01,1.138811138002239005e+02
1.244979919678714886e+01,1.138926890981230429e+02
1.255020080321285114e+01,1.139076638586191876e+02
1.265060240963855342e+01,1.139307535801538052e+02
1.275100401606425748e+01,1.139694061632250595e+02
1.285140562248995977e+01,1.140361471176722148e+02
1.295180722891566205e+01,1.141522987539042191e+02
1.305220883534136611e+01,1.143538887962439787e+02
1.315261044176706839e+01,1.147008161705727929e+02
1.325301204819277068e+01,1.152903728829088124e+02
1.335341365461847296e+01,1.162753978477272199e+02
1.345381526104417702e+01,1.178841119005591054e+02
1.355421686746987930e+01,1.204300411895421803e+02
1.365461847389558159e+01,1.242824431186085690e+02
1.375502008032128565e+01,1.297419027404915823e+02
1.385542168674698793e+01,1.367604067845457507e+02
1.395582329317269021e+01,1.445485245843363771e+02
1.405622489959839427e+01,1.514210414891713015e+02
1.415662650602409656e+01,1.554713988337879869e+02
1.425702811244979884e+01,1.559329907079800819e+02
1.435742971887550112e+01,1.537363132129532062e+02
1.445783132530120518e+01,1.505210592918040220e+02
1.455823293172690747e+01,1.474774111041726314e+02
1.465863453815260975e+01,1.450917396000120618e+02
1.475903614457831381e+01,1.434188140588461806e+02
1.485943775100401609e+01,1.423408992484440603e+02
1.495983935742971838e+01,1.416996402255784062e+02
1.506024096385542244e+01,1.413508747897115256e+02
1.516064257028112472e+01,1.411833232492867296e+02
1.526104417670682700e+01,1.411201361379833656e+02
1.536144578313252929e+01,1.411128956497403237e+02
1.546184738955823335e+01,1.411335485180529474e+02
1.556224899598393563e+01,1.411671228532854059e+02
1.566265060240963791e+01,1.412062903106603358e+02
1.576305220883534197e+01,1.412477985572709542e+02
1.586345381526104426e+01,1.412903603224478957e+02
