time,potential_global
0.000000000000000000e+00,2.298015040192712775e+02
1.004016064257028107e-01,2.153514337324187409e+02
2.008032128514056214e-01,2.113962232307416969e+02
3.012048192771084043e-01,2.118506279172923712e+02
4.016064257028112428e-01,2.143106416693365190e+02
5.020080321285140812e-01,2.174980077331902919e+02
6.024096385542168086e-01,2.205260606762987265e+02
7.028112449799196471e-01,2.229217008045414161e+02
8.032128514056224855e-01,2.245952649760490090e+02
9.036144578313253239e-01,2.255968058268850882e+02
1.004016064257028162e+00,2.259104499219722015e+02
1.104417670682730890e+00,2.254482021401669556e+02
1.204819277108433617e+00,2.240925803139623440e+02
1.305220883534136567e+00,2.218909333201518166e+02
1.405622489959839294e+00,2.191875560335275566e+02
1.506024096385542244e+00,2.165570059741049533e+02
1.606425702811244971e+00,2.145469307378917563e+02
1.706827309236947698e+00,2.133112141130884538e+02
1.807228915662650648e+00,2.124823755731184178e+02
1.907630522088353375e+00,2.113693771038998079e+02
2.008032128514056325e+00,2.094625353927226570e+02
2.108433734939759052e+00,2.070169573760960020e+02
2.208835341365461780e+00,2.051915908953119470e+02
2.309236947791164507e+00,2.053567815975857229e+02
2.409638554216867234e+00,2.081431268831463512e+02
2.510040160642570406e+00,2.130158022230175447e+02
2.610441767068273133e+00,2.185488445872768182e+02
2.710843373493975861e+00,2.232100187192511953e+02
2.811244979919678588e+00,2.263003261227016196e+02
2.911646586345381316e+00,2.280497474092959465e+02
3.012048192771084487e+00,2.288880088101085732e+02
3.112449799196787215e+00,2.292046181048638402e+02
3.212851405622489942e+00,2.292446342991067070e+02
3.313253012048192669e+00,2.291201856686894303e+02
3.413654618473895397e+00,2.286021471280470223e+02
3.514056224899598568e+00,2.272616712114134145e+02
3.614457831325301296e+00,2.246648830568721280e+02
3.714859437751004023e+00,2.207033285029040144e+02
3.815261044176706751e+00,2.158556229766862486e+02
3.915662650602409478e+00,2.110805057449667572e+02
4.016064257028112650e+00,2.073763301511759209e+02
4.116465863453814933e+00,2.052589908854180294e+02
4.216867469879518104e+00,2.046680908673909300e+02
4.317269076305221276e+00,2.052606619444280227e+02
4.417670682730923559e+00,2.065532654666828307e+02
4.518072289156626731e+00,2.080101621785175610e+02
4.618473895582329014e+00,2.089570071939015463e+02
4.718875502008032186e+00,2.085300227028504310e+02
4.819277108433734469e+00,2.059459515350677634e+02
4.919678714859437640e+00,2.011308334651135112e+02
5.020080321285140812e+00,1.951532522677553914e+02
5.120481927710843095e+00,1.896848033246582759e+02
5.220883534136546267e+00,1.859129062246540514e+02
5.321285140562248550e+00,1.841018249202386130e+02
5.421686746987951722e+00,1.840337869412633438e+02
5.522088353413654893e+00,1.854398802873398324e+02
5.622489959839357176e+00,1.883219948475703234e+02
5.722891566265060348e+00,1.928751818947863512e+02
5.823293172690762631e+00,1.992041745059334232e+02
5.923694779116465803e+00,2.068564621152640370e+02
6.024096385542168974e+00,2.145370890784224116e+02
6.124497991967871258e+00,2.206825995941204042e+02
6.224899598393574429e+00,2.246171766139105728e+02
6.325301204819276712e+00,2.266676674029405945e+02
6.425702811244979884e+00,2.272895184439348952e+02
6.526104417670683056e+00,2.270060731219390107e+02
