time,row_entropy_connectedness
0.000000000000000000e+00,9.352821597674200405e+01
1.004016064257028107e-01,8.787102342861064130e+01
2.008032128514056214e-01,8.614935282068204003e+01
3.012048192771084043e-01,8.610325799357754306e+01
4.016064257028112428e-01,8.688288720642319163e+01
5.020080321285140812e-01,8.811022883573841114e+01
6.024096385542168086e-01,8.953954842840998651e+01
7.028112449799196471e-01,9.094042959467284959e+01
8.032128514056224855e-01,9.207880398212505213e+01
9.036144578313253239e-01,9.275694407916817852e+01
1.004016064257028162e+00,9.288796098321130046e+01
1.104417670682730890e+00,9.252229216454652772e+01
1.204819277108433617e+00,9.180522083972638825e+01
1.305220883534136567e+00,9.093464922421946994e+01
1.405622489959839294e+00,9.009910176940823590e+01
1.506024096385542244e+00,8.940209165656182222e+01
1.606425702811244971e+00,8.882531197140910706e+01
1.706827309236947698e+00,8.824287360157518378e+01
1.807228915662650648e+00,8.751384489423037394e+01
1.907630522088353375e+00,8.659831725005467717e+01
2.008032128514056325e+00,8.563775346328135640e+01
2.108433734939759052e+00,8.492120523487815831e+01
2.208835341365461780e+00,8.471851555885081098e+01
2.309236947791164507e+00,8.511656531738182707e+01
2.409638554216867234e+00,8.604238247001833884e+01
2.510040160642570406e+00,8.742184070706608168e+01
2.610441767068273133e+00,8.926648121052629392e+01
2.710843373493975861e+00,9.157615240745448659e+01
2.811244979919678588e+00,9.413966983239178887e+01
2.911646586345381316e+00,9.647282715138268827e+01
3.012048192771084487e+00,9.807640195116618997e+01
3.112449799196787215e+00,9.878688640639737173e+01
3.212851405622489942e+00,9.871893682977426465e+01
3.313253012048192669e+00,9.808194420425057558e+01
3.413654618473895397e+00,9.700954296750765593e+01
3.514056224899598568e+00,9.560888973166822780e+01
3.614457831325301296e+00,9.402662992521577223e+01
3.714859437751004023e+00,9.249282533842935550e+01
3.815261044176706751e+00,9.127881795378041829e+01
3.915662650602409478e+00,9.057154805115591500e+01
4.016064257028112650e+00,9.038276608583737470e+01
4.116465863453814933e+00,9.055212368555648084e+01
4.216867469879518104e+00,9.084059193057034065e+01
4.317269076305221276e+00,9.103495404968735727e+01
4.417670682730923559e+00,9.097230845046664172e+01
4.518072289156626731e+00,9.052165060141912534e+01
4.618473895582329014e+00,8.960019176993311874e+01
4.718875502008032186e+00,8.820891057622151266e+01
4.819277108433734469e+00,8.651739621708225059e+01
4.919678714859437640e+00,8.488058787645324799e+01
5.020080321285140812e+00,8.368381110145871560e+01
5.120481927710843095e+00,8.309773504557627177e+01
5.220883534136546267e+00,8.301317064049510464e+01
5.321285140562248550e+00,8.319992469174162864e+01
5.421686746987951722e+00,8.348412525458263644e+01
5.522088353413654893e+00,8.379184513702300308e+01
5.622489959839357176e+00,8.414373366932909448e+01
5.722891566265060348e+00,8.463238287509902591e+01
5.823293172690762631e+00,8.541735536368855719e+01
5.923694779116465803e+00,8.671655584066192546e+01
6.024096385542168974e+00,8.874034283785253763e+01
6.124497991967871258e+00,9.151119484454549990e+01
6.224899598393574429e+00,9.465115611320678113e+01
6.325301204819276712e+00,9.745774368572946855e+01
6.425702811244979884e+00,9.937016490303001603e+01
6.526104417670683056e+00,1.003508275498860201e+02
6.626506024096385339e+00,1.006779064978723142e+02
6.726907630522088510e+00,1.006693443012238163e+02
6.827309236947790794e+00,1.005329907986610323e+02
6.927710843373493965e+00,1.003660092457811430e+02
7.028112449799197137e+00,1.001962850362367590e+02
7.128514056224899420e+00,1.000181031987383875e+02
7.228915662650602592e+00,9.981128050276404906e+01
7.329317269076304875e+00,9.954788999961094476e+01
7.429718875502008046e+00,9.919231640816903450e+01
7.530120481927711218e+00,9.869947618127605438e+01
7.630522088353413501e+00,9.801621328850556836e+01
7.730923694779116673e+00,9.709345070448196680e+01
7.831325301204818956e+00,9.591664994861308458e+01
7.931726907630522128e+00,9.456273333082310728e+01
8.032128514056225299e+00,9.323294269021768343e+01
8.132530120481927582e+00,9.222980264981846688e+01
8.232931726907629866e+00,9.182470359317828468e+01
8.333333333333333925e+00,9.209016007502877699e+01
8.433734939759036209e+00,9.281365616078565495e+01
8.534136546184738492e+00,9.367422367912421066e+01
8.634538152610442552e+00,9.443304635255115898e+01
8.734939759036144835e+00,9.498220701546088662e+01
8.835341365461847118e+00,9.532512828708114228e+01
8.935742971887549402e+00,9.550966571141772476e+01
9.036144578313253461e+00,9.559131135349618091e+01
9.136546184738955745e+00,9.561382715647921771e+01
9.236947791164658028e+00,9.560547255833016322e+01
9.337349397590362088e+00,9.558130634015822125e+01
9.437751004016064371e+00,9.554712988238995308e+01
9.538152610441766655e+00,9.550254594538910169e+01
9.638554216867468938e+00,9.544242180411580989e+01
9.738955823293172998e+00,9.535671756886735295e+01
9.839357429718875281e+00,9.522873075708956492e+01
9.939759036144577564e+00,9.503116332689329226e+01
