time,R_energy
0.000000000000000000e+00,-2.561128303520972167e+03
1.005025125628140753e-01,-4.869123018264117064e+01
2.010050251256281506e-01,-4.320415829103542649e+01
3.015075376884422398e-01,-5.392583644355578798e+01
4.020100502512563012e-01,-7.276831262379100451e+01
5.025125628140704181e-01,-9.973940708167371838e+01
6.030150753768844796e-01,-1.355131318676973251e+02
7.035175879396985410e-01,-1.795331230832629785e+02
8.040201005025126024e-01,-2.279272301541834906e+02
9.045226130653266639e-01,-2.723969789274353843e+02
1.005025125628140836e+00,-3.082770189235284874e+02
1.105527638190954898e+00,-3.643915971415028139e+02
1.206030150753768959e+00,-5.122383058919696168e+02
1.306532663316583021e+00,-7.531935065666348237e+02
1.407035175879397082e+00,-9.610199768075522115e+02
1.507537688442211143e+00,-1.052840914737563480e+03
1.608040201005025205e+00,-1.062985220509277042e+03
1.708542713567839266e+00,-1.041844004957867583e+03
1.809045226130653328e+00,-1.015237341255950696e+03
1.909547738693467389e+00,-9.909411179682734883e+02
2.010050251256281673e+00,-9.399034602918120527e+02
2.110552763819095734e+00,-7.898769589407762624e+02
2.211055276381909795e+00,-5.384096731513390068e+02
2.311557788944723857e+00,-3.104041293468870322e+02
2.412060301507537918e+00,-1.876679676996212720e+02
2.512562814070351980e+00,-1.362355406187130313e+02
2.613065326633166041e+00,-1.094028462303806322e+02
2.713567839195980103e+00,-8.935571906830202238e+01
2.814070351758794164e+00,-7.249263459505041851e+01
2.914572864321608225e+00,-5.827903872717194389e+01
3.015075376884422287e+00,-4.638269239806125199e+01
3.115577889447236348e+00,-3.648468699664587689e+01
3.216080402010050410e+00,-2.836269386378508628e+01
3.316582914572864471e+00,-2.184251048227839931e+01
3.417085427135678533e+00,-1.673569248367821061e+01
3.517587939698492594e+00,-1.283208283848949449e+01
3.618090452261306655e+00,-9.924709152492697584e+00
3.718592964824120717e+00,-7.835072185127494926e+00
3.819095477386934778e+00,-6.427873533847350274e+00
3.919597989949748840e+00,-5.617467789298216552e+00
4.020100502512563345e+00,-5.371280501878002767e+00
4.120603015075377407e+00,-5.714423235421530300e+00
4.221105527638191468e+00,-6.738380082225260637e+00
4.321608040201005529e+00,-8.615861617413949958e+00
