time,R_energy_linear
0.000000000000000000e+00,-4.785805403604253661e+05
1.005025125628140753e-01,-2.698622551069949623e+03
2.010050251256281506e-01,-6.041794947627575993e+02
3.015075376884422398e-01,-2.426481284102010534e+02
4.020100502512563012e-01,-1.255638302050394230e+02
5.025125628140704181e-01,-7.729561772174170642e+01
6.030150753768844796e-01,-5.619997365111844800e+01
7.035175879396985410e-01,-4.891240732456041940e+01
8.040201005025126024e-01,-5.064822812220849357e+01
9.045226130653266639e-01,-5.994159943798065626e+01
1.005025125628140836e+00,-7.684389509242622296e+01
1.105527638190954898e+00,-1.020433154643216369e+02
1.206030150753768959e+00,-1.360168215483223264e+02
1.306532663316583021e+00,-1.776318113539398382e+02
1.407035175879397082e+00,-2.216864580978128174e+02
1.507537688442211143e+00,-2.558554434470187857e+02
1.608040201005025205e+00,-2.639082013098426387e+02
1.708542713567839266e+00,-2.716266099239086884e+02
1.809045226130653328e+00,-5.720406411556526791e+02
1.909547738693467389e+00,-2.395644389871207750e+03
2.010050251256281673e+00,-8.284708951655284181e+03
2.110552763819095734e+00,-1.727941763706566417e+04
2.211055276381909795e+00,-1.902630628865988547e+04
2.311557788944723857e+00,-1.129938371401591576e+04
2.412060301507537918e+00,-4.418974022467969917e+03
2.512562814070351980e+00,-1.559460630403098776e+03
2.613065326633166041e+00,-6.940431395089440230e+02
2.713567839195980103e+00,-4.218001974500541564e+02
2.814070351758794164e+00,-3.018703374636641001e+02
2.914572864321608225e+00,-2.344634957083892459e+02
3.015075376884422287e+00,-1.940894172717554795e+02
3.115577889447236348e+00,-1.666272578925747894e+02
3.216080402010050410e+00,-1.431431252491659336e+02
3.316582914572864471e+00,-1.203041291027253550e+02
3.417085427135678533e+00,-9.831294232666692778e+01
3.517587939698492594e+00,-7.836603002798851492e+01
3.618090452261306655e+00,-6.130963773315323806e+01
3.718592964824120717e+00,-4.736867291441504335e+01
3.819095477386934778e+00,-3.632636722902368831e+01
3.919597989949748840e+00,-2.776102468578408278e+01
4.020100502512563345e+00,-2.120917873740095416e+01
4.120603015075377407e+00,-1.624968943030135904e+01
4.221105527638191468e+00,-1.253613437893300286e+01
4.321608040201005529e+00,-9.802624249389920053e+00
4.422110552763819591e+00,-7.859066250580755586e+00
4.522613065326633652e+00,-6.584558673880046342e+00
4.623115577889447714e+00,-5.923278473274503853e+00
4.723618090452261775e+00,-5.885093127901397381e+00
4.824120603015075837e+00,-6.552282579830333020e+00
4.924623115577889898e+00,-8.093542287106565425e+00
5.025125628140703959e+00,-1.078637981629303688e+01
5.125628140703518021e+00,-1.504862850847475464e+01
5.226130653266332082e+00,-2.147830265066646405e+01
5.326633165829146144e+00,-3.089689787633826157e+01
5.427135678391960205e+00,-4.438138415903595302e+01
5.527638190954774267e+00,-6.324833879164962269e+01
5.628140703517588328e+00,-8.890810835841291748e+01
5.728643216080402389e+00,-1.224184859453494880e+02
5.829145728643216451e+00,-1.634190331228251409e+02
5.929648241206030512e+00,-2.079879825984393449e+02
6.030150753768844574e+00,-2.454164658872450673e+02
6.130653266331658635e+00,-2.579736226220310300e+02
6.231155778894472697e+00,-2.482629629937066511e+02
6.331658291457286758e+00,-3.958225476487142487e+02
6.432160804020100819e+00,-1.600312434265347520e+03
6.532663316582914881e+00,-6.206766563417642828e+03
6.633165829145728942e+00,-1.509994246354993993e+04
6.733668341708543004e+00,-1.976307888238660962e+04
6.834170854271357065e+00,-1.360318187059114643e+04
6.934673366834171127e+00,-5.707184263939770972e+03
7.035175879396985188e+00,-1.870175760886981607e+03
7.135678391959799249e+00,-6.684842216732723728e+02
7.236180904522613311e+00,-3.626930102699038230e+02
7.336683417085427372e+00,-2.758017630636092576e+02
7.437185929648241434e+00,-2.270050209418543545e+02
7.537688442211055495e+00,-1.841564804767447754e+02
7.638190954773869557e+00,-1.477018183432498120e+02
7.738693467336683618e+00,-1.192786753379014613e+02
7.839195979899497679e+00,-9.755959713315556314e+01
7.939698492462311741e+00,-8.030015400003534864e+01
8.040201005025126690e+00,-6.587990501732039661e+01
8.140703517587940752e+00,-5.353011872764234624e+01
8.241206030150754813e+00,-4.298579773893000322e+01
8.341708542713568875e+00,-3.414234095267541846e+01
8.442211055276382936e+00,-2.688501704372990986e+01
8.542713567839196998e+00,-2.105021173574006710e+01
8.643216080402011059e+00,-1.644397770826837757e+01
8.743718592964825120e+00,-1.287155423596401249e+01
8.844221105527639182e+00,-1.016017366257820598e+01
8.944723618090453243e+00,-8.172734148929368558e+00
9.045226130653267305e+00,-6.815309964394101527e+00
9.145728643216081366e+00,-6.042300210407385741e+00
9.246231155778895427e+00,-5.862409366888049256e+00
9.346733668341709489e+00,-6.347952541780302660e+00
9.447236180904523550e+00,-7.649518367018425913e+00
9.547738693467337612e+00,-1.001772891890377082e+01
9.648241206030151673e+00,-1.383337812678115597e+01
9.748743718592965735e+00,-1.964596831380875841e+01
9.849246231155779796e+00,-2.821730715840519466e+01
9.949748743718593857e+00,-4.055878234282217676e+01
1.005025125628140792e+01,-5.793292427868016858e+01
1.015075376884422198e+01,-8.175175182077239810e+01
1.025125628140703604e+01,-1.132286968815606514e+02
1.035175879396985010e+01,-1.525074669671884635e+02
1.045226130653266416e+01,-1.968284638936664521e+02
1.055276381909547823e+01,-2.374679637698944248e+02
1.065326633165829229e+01,-2.577439173733332609e+02
1.075376884422110635e+01,-2.484170221297239323e+02
1.085427135678392041e+01,-3.138970225663164797e+02
1.095477386934673447e+01,-1.089935635593087227e+03
1.105527638190954853e+01,-4.565119858028532690e+03
1.115577889447236259e+01,-1.272826448501546474e+04
1.125628140703517666e+01,-1.965015618336838088e+04
1.135678391959799072e+01,-1.578294639694163197e+04
1.145728643216080478e+01,-7.352590782565953305e+03
1.155778894472361884e+01,-2.494887980065924694e+03
1.165829145728643290e+01,-8.311713085561780190e+02
1.175879396984924696e+01,-3.909308083036958124e+02
1.185929648241206102e+01,-2.776201797074539286e+02
1.195979899497487509e+01,-2.293137213659938425e+02
1.206030150753768915e+01,-1.900413348219520628e+02
1.216080402010050321e+01,-1.553134524388131581e+02
1.226130653266331727e+01,-1.270833858660660525e+02
1.236180904522613133e+01,-1.048473477375126777e+02
1.246231155778894539e+01,-8.677882448456870179e+01
1.256281407035175945e+01,-7.143065949773591683e+01
1.266331658291457352e+01,-5.813561058867190923e+01
1.276381909547738758e+01,-4.670455601688766478e+01
1.286432160804020164e+01,-3.708118953751134228e+01
1.296482412060301570e+01,-2.917036535663844887e+01
1.306532663316582976e+01,-2.280625195417149342e+01
1.316582914572864382e+01,-1.778018352036990635e+01
1.326633165829145788e+01,-1.387757235097443598e+01
1.336683417085427195e+01,-1.090510837990545312e+01
1.346733668341708601e+01,-8.706353367196726367e+00
1.356783919597990007e+01,-7.169568367934452624e+00
1.366834170854271413e+01,-6.232242942784674611e+00
1.376884422110552819e+01,-5.885906783089886574e+00
1.386934673366834225e+01,-6.183895006549276374e+00
1.396984924623115631e+01,-7.254151600465864824e+00
1.407035175879397038e+01,-9.318836975000339251e+00
1.417085427135678444e+01,-1.272214262640057747e+01
1.427135678391959850e+01,-1.796675191288790785e+01
1.437185929648241256e+01,-2.575675037328641892e+01
1.447236180904522662e+01,-3.703827865179535905e+01
1.457286432160804068e+01,-5.301445703068872461e+01
1.467336683417085474e+01,-7.507938618533690089e+01
1.477386934673366881e+01,-1.045518641699467111e+02
1.487437185929648287e+01,-1.419717613703901122e+02
1.497487437185929693e+01,-1.855550538923594104e+02
1.507537688442211099e+01,-2.284108215199684651e+02
1.517587939698492505e+01,-2.556673318228720575e+02
1.527638190954773911e+01,-2.520982084979589217e+02
1.537688442211055317e+01,-2.720968606522972095e+02
1.547738693467336724e+01,-7.491646288080283966e+02
1.557788944723618130e+01,-3.274982898678037145e+03
1.567839195979899536e+01,-1.034326690352870355e+04
1.577889447236180942e+01,-1.874232266887876176e+04
1.587939698492462348e+01,-1.768309529919255874e+04
1.597989949748743754e+01,-9.272649817323879688e+03
1.608040201005025338e+01,-3.324002716291682646e+03
1.618090452261306567e+01,-1.077070957007550533e+03
1.628140703517588150e+01,-4.546637098592082111e+02
1.638190954773869379e+01,-2.985217504457461928e+02
1.648241206030150963e+01,-2.423308591984439033e+02
1.658291457286432191e+01,-2.009167830662021856e+02
1.668341708542713775e+01,-1.639949611318815528e+02
1.678391959798995003e+01,-1.336119109289068660e+02
1.688442211055276587e+01,-1.098264792591004237e+02
1.698492462311557816e+01,-9.082562055514415533e+01
