time,R_energy_linear_jacobian
0.000000000000000000e+00,-1.102935926034649810e+03
1.005025125628140753e-01,-1.099375659785848853e+02
2.010050251256281506e-01,-6.822782455376382416e+01
3.015075376884422398e-01,-5.183734009021245015e+01
4.020100502512563012e-01,-4.346349699692812152e+01
5.025125628140704181e-01,-3.939831718297326546e+01
6.030150753768844796e-01,-3.850552875874392100e+01
7.035175879396985410e-01,-4.051222518997293776e+01
8.040201005025126024e-01,-4.548053026315875513e+01
9.045226130653266639e-01,-5.345412485883340992e+01
1.005025125628140836e+00,-6.402521446654768056e+01
1.105527638190954898e+00,-7.592184417282136621e+01
1.206030150753768959e+00,-8.727644676851792838e+01
1.306532663316583021e+00,-9.701708601991700220e+01
1.407035175879397082e+00,-1.058234832332840512e+02
1.507537688442211143e+00,-1.150336319014136421e+02
1.608040201005025205e+00,-1.247436776616072649e+02
1.708542713567839266e+00,-1.333423789816943383e+02
1.809045226130653328e+00,-1.389040529130496395e+02
1.909547738693467389e+00,-1.407112079418348856e+02
2.010050251256281673e+00,-1.396442621758221208e+02
2.110552763819095734e+00,-1.374601737742451917e+02
2.211055276381909795e+00,-1.351165817640117552e+02
2.311557788944723857e+00,-1.317207632323120094e+02
2.412060301507537918e+00,-1.256156404331607632e+02
2.512562814070351980e+00,-1.163094585301698061e+02
2.613065326633166041e+00,-1.050157818940833749e+02
2.713567839195980103e+00,-9.343896352711033160e+01
2.814070351758794164e+00,-8.259508018684144304e+01
2.914572864321608225e+00,-7.277974961534654597e+01
3.015075376884422287e+00,-6.398251275979990993e+01
3.115577889447236348e+00,-5.614166281111909740e+01
3.216080402010050410e+00,-4.921499946752368970e+01
3.316582914572864471e+00,-4.317141641255786766e+01
3.417085427135678533e+00,-3.796792286143123363e+01
3.517587939698492594e+00,-3.353825446614188621e+01
3.618090452261306655e+00,-2.979616643476251880e+01
3.718592964824120717e+00,-2.664619612185192921e+01
3.819095477386934778e+00,-2.399455716593048038e+01
3.919597989949748840e+00,-2.175672884686715491e+01
