time,R_loc
0.000000000000000000e+00,-1.443251715395033052e+00
1.005025125628140753e-01,-1.497023157088965384e+00
2.010050251256281506e-01,-1.541214360223043478e+00
3.015075376884422398e-01,-1.576556809581520557e+00
4.020100502512563012e-01,-1.603430676718508696e+00
5.025125628140704181e-01,-1.621764835392143667e+00
6.030150753768844796e-01,-1.630821870539427287e+00
7.035175879396985410e-01,-1.628726548349605174e+00
8.040201005025126024e-01,-1.611324685191154682e+00
9.045226130653266639e-01,-1.568845172034633917e+00
1.005025125628140836e+00,-1.471567562569332077e+00
1.105527638190954898e+00,-1.095042233195675507e+00
1.206030150753768959e+00,-1.272941398011706582e+00
1.306532663316583021e+00,-1.477210575973053608e+00
1.407035175879397082e+00,-1.707409293949524454e+00
1.507537688442211143e+00,-1.957986103473529971e+00
1.608040201005025205e+00,-2.212771668785862289e+00
1.708542713567839266e+00,-2.434442762044852770e+00
1.809045226130653328e+00,-2.546412088300087362e+00
1.909547738693467389e+00,-2.411380604971924413e+00
2.010050251256281673e+00,-1.843356213448999137e+00
2.110552763819095734e+00,-1.778914006565476713e+00
2.211055276381909795e+00,-1.787374152003134986e+00
2.311557788944723857e+00,-1.519479154709200142e+00
2.412060301507537918e+00,-9.412815722395250218e-01
2.512562814070351980e+00,3.403828787548201507e-01
2.613065326633166041e+00,8.073031336369376199e-01
2.713567839195980103e+00,1.001666174675561738e+00
2.814070351758794164e+00,1.187643302928416356e+00
2.914572864321608225e+00,1.394303008842899150e+00
3.015075376884422287e+00,1.604581714904877554e+00
3.115577889447236348e+00,1.387220719573090122e+00
3.216080402010050410e+00,1.176580324613318407e+00
3.316582914572864471e+00,9.889037868721082258e-01
3.417085427135678533e+00,5.838955090098341127e-01
3.517587939698492594e+00,1.462802423375659799e-01
3.618090452261306655e+00,-1.616512032992276637e-01
3.718592964824120717e+00,-4.113564931450301998e-01
3.819095477386934778e+00,-6.204395547210306283e-01
3.919597989949748840e+00,-7.976438983634110969e-01
4.020100502512563345e+00,-9.486105852543387229e-01
4.120603015075377407e+00,-1.077474092492082480e+00
4.221105527638191468e+00,-1.187468026097461493e+00
4.321608040201005529e+00,-1.281205500960320265e+00
4.422110552763819591e+00,-1.360828492237628584e+00
4.522613065326633652e+00,-1.428094781555348192e+00
4.623115577889447714e+00,-1.484429313696722375e+00
4.723618090452261775e+00,-1.530949932429551019e+00
4.824120603015075837e+00,-1.568468429137999998e+00
4.924623115577889898e+00,-1.597459865853868788e+00
5.025125628140703959e+00,-1.617980945115399471e+00
5.125628140703518021e+00,-1.629492387535976139e+00
5.226130653266332082e+00,-1.630474420366227140e+00
5.326633165829146144e+00,-1.617525487490030223e+00
5.427135678391960205e+00,-1.582877539788500876e+00
5.527638190954774267e+00,-1.505022547043573855e+00
5.628140703517588328e+00,-1.254662488135217302e+00
5.728643216080402389e+00,-1.225738484572636011e+00
5.829145728643216451e+00,-1.423288028046254761e+00
5.929648241206030512e+00,-1.647216372080428926e+00
6.030150753768844574e+00,-1.893638596039970423e+00
6.130653266331658635e+00,-2.149802480699847251e+00
6.231155778894472697e+00,-2.451674358879236237e+00
6.331658291457286758e+00,-2.870581902755072079e+00
6.432160804020100819e+00,-3.156958613930113788e+00
6.532663316582914881e+00,-3.107064638799553524e+00
6.633165829145728942e+00,-2.314558190943334814e+00
6.733668341708543004e+00,-2.449549432318473219e+00
6.834170854271357065e+00,-2.354911678459848723e+00
6.934673366834171127e+00,-2.014460191602218231e+00
7.035175879396985188e+00,-1.446250274619840237e+00
7.135678391959799249e+00,-5.061501724371681998e-01
7.236180904522613311e+00,1.191648783514498433e-01
7.336683417085427372e+00,4.504072298510168881e-01
7.437185929648241434e+00,7.362383785657556912e-01
7.537688442211055495e+00,9.749146611701984266e-01
7.638190954773869557e+00,1.175211871372580319e+00
7.738693467336683618e+00,1.227394288871863637e+00
7.839195979899497679e+00,1.034028890206650786e+00
7.939698492462311741e+00,8.219814148884435623e-01
8.040201005025126690e+00,2.377137302815111042e-01
8.140703517587940752e+00,-9.073522821953394768e-02
8.241206030150754813e+00,-3.528017551505580052e-01
8.341708542713568875e+00,-5.710960634304218519e-01
8.442211055276382936e+00,-7.557099747396973655e-01
8.542713567839196998e+00,-9.128451665179913022e-01
8.643216080402011059e+00,-1.046937325036000566e+00
8.743718592964825120e+00,-1.161412544780631606e+00
8.844221105527639182e+00,-1.259022561175385135e+00
8.944723618090453243e+00,-1.342017923816494651e+00
9.045226130653267305e+00,-1.412247119526703454e+00
9.145728643216081366e+00,-1.471215494686771486e+00
9.246231155778895427e+00,-1.520117051836936017e+00
9.346733668341709489e+00,-1.559842031217582914e+00
