time,R_spec
0.000000000000000000e+00,8.133053654409659605e-05
1.005025125628140753e-01,1.000084747313077782e-03
2.010050251256281506e-01,1.991096347322973692e-03
3.015075376884422398e-01,2.924623814281407386e-03
4.020100502512563012e-01,3.811223169821228995e-03
5.025125628140704181e-01,4.670111597142381776e-03
6.030150753768844796e-01,5.516222945741749983e-03
7.035175879396985410e-01,6.361199498182548706e-03
8.040201005025126024e-01,7.215822967905603964e-03
9.045226130653266639e-01,8.092273181628547793e-03
1.005025125628140836e+00,8.091507602895398055e-03
1.105527638190954898e+00,6.951354996255846783e-03
1.206030150753768959e+00,5.987695617349619685e-03
1.306532663316583021e+00,5.180170201424233629e-03
1.407035175879397082e+00,4.472351590932999860e-03
1.507537688442211143e+00,3.691674846476145945e-03
1.608040201005025205e+00,3.044163728978622162e-03
1.708542713567839266e+00,2.523673201638668585e-03
1.809045226130653328e+00,2.125498711332223130e-03
1.909547738693467389e+00,1.851724454514681872e-03
2.010050251256281673e+00,1.726379524974999344e-03
2.110552763819095734e+00,1.586544505249919655e-03
2.211055276381909795e+00,1.156740078041825675e-03
2.311557788944723857e+00,1.149318076461718768e-03
2.412060301507537918e+00,1.457835827891329483e-03
2.512562814070351980e+00,2.076511107393517758e-03
2.613065326633166041e+00,2.866586096938093797e-03
2.713567839195980103e+00,3.095053131575861705e-03
2.814070351758794164e+00,3.267275551833079272e-03
2.914572864321608225e+00,3.418739398737838386e-03
3.015075376884422287e+00,3.624365551464919788e-03
3.115577889447236348e+00,3.917013967129387431e-03
3.216080402010050410e+00,4.299419909553126029e-03
3.316582914572864471e+00,4.760429255168383000e-03
3.417085427135678533e+00,5.051591734563362635e-03
3.517587939698492594e+00,5.332411744884690830e-03
3.618090452261306655e+00,5.682422448756302424e-03
3.718592964824120717e+00,6.085283081901149416e-03
3.819095477386934778e+00,6.528779336093484820e-03
3.919597989949748840e+00,7.003729714409656637e-03
4.020100502512563345e+00,7.503080047886162562e-03
4.120603015075377407e+00,8.021202256780476936e-03
4.221105527638191468e+00,8.553392180532580144e-03
4.321608040201005529e+00,9.095551747845601748e-03
4.422110552763819591e+00,9.644037320225288396e-03
4.522613065326633652e+00,1.019565783868061661e-02
4.623115577889447714e+00,1.074781418049521216e-02
4.723618090452261775e+00,1.129878165902978293e-02
4.824120603015075837e+00,1.184814913187180740e-02
4.924623115577889898e+00,1.239743834606773371e-02
5.025125628140703959e+00,1.295093596989476542e-02
5.125628140703518021e+00,1.304105774320292628e-02
5.226130653266332082e+00,1.296652339730246933e-02
5.326633165829146144e+00,1.252470430755481257e-02
5.427135678391960205e+00,1.068941416884262342e-02
5.527638190954774267e+00,9.247416950027172872e-03
5.628140703517588328e+00,8.046719790762404262e-03
5.728643216080402389e+00,7.053287599446252283e-03
5.829145728643216451e+00,5.969432753975876735e-03
5.929648241206030512e+00,4.744521024668691377e-03
6.030150753768844574e+00,3.771325150569519377e-03
6.130653266331658635e+00,3.011928888327072579e-03
6.231155778894472697e+00,2.433892965794575824e-03
6.331658291457286758e+00,2.011425000000416612e-03
6.432160804020100819e+00,1.728800196814013609e-03
6.532663316582914881e+00,1.589429115079613649e-03
6.633165829145728942e+00,1.555619235202545646e-03
6.733668341708543004e+00,1.040570002445317379e-03
6.834170854271357065e+00,9.680914466353428846e-04
6.934673366834171127e+00,1.186947466933858161e-03
7.035175879396985188e+00,1.697592128457003652e-03
7.135678391959799249e+00,2.542872491808224195e-03
7.236180904522613311e+00,3.643871790755446281e-03
7.336683417085427372e+00,4.090769874768501735e-03
7.437185929648241434e+00,4.435472919803756797e-03
7.537688442211055495e+00,4.710688595537693146e-03
7.638190954773869557e+00,4.920886121753426101e-03
7.738693467336683618e+00,5.178690180940845322e-03
7.839195979899497679e+00,5.507377518888467716e-03
7.939698492462311741e+00,5.912355509649275254e-03
8.040201005025126690e+00,6.388090107339636226e-03
8.140703517587940752e+00,6.922639164883545582e-03
8.241206030150754813e+00,7.445386369834799956e-03
8.341708542713568875e+00,7.736051872783505923e-03
8.442211055276382936e+00,8.093667493575845695e-03
8.542713567839196998e+00,8.502663420154349394e-03
8.643216080402011059e+00,8.950396199019078347e-03
8.743718592964825120e+00,9.426479189679787263e-03
8.844221105527639182e+00,9.922267719922569715e-03
8.944723618090453243e+00,1.043050042970146245e-02
9.045226130653267305e+00,1.094509262155257678e-02
9.145728643216081366e+00,1.146108992942853656e-02
9.246231155778895427e+00,1.197479337730341514e-02
9.346733668341709489e+00,1.248407973626904956e-02
9.447236180904523550e+00,1.298894585219131578e-02
9.547738693467337612e+00,1.348156807226397885e-02
9.648241206030151673e+00,1.337986404636199063e-02
9.748743718592965735e+00,1.323889391680806334e-02
9.849246231155779796e+00,1.319772573948457643e-02
9.949748743718593857e+00,1.125811026893218728e-02
1.005025125628140792e+01,9.685229304566295855e-03
1.015075376884422198e+01,8.415545740832362440e-03
1.025125628140703604e+01,7.360079251354607541e-03
1.035175879396985010e+01,6.403714432562545265e-03
1.045226130653266416e+01,5.089054811135898873e-03
1.055276381909547823e+01,4.040452502707010500e-03
1.065326633165829229e+01,3.217716945117453289e-03
1.075376884422110635e+01,2.586519210529536743e-03
1.085427135678392041e+01,2.118760127587111797e-03
1.095477386934673447e+01,1.795063598156392860e-03
1.105527638190954853e+01,1.611911852830656949e-03
1.115577889447236259e+01,1.601134897139688427e-03
1.125628140703517666e+01,1.093441871925636194e-03
1.135678391959799072e+01,9.398299567436075056e-04
1.145728643216080478e+01,1.096620628425137639e-03
1.155778894472361884e+01,1.536837437008240024e-03
1.165829145728643290e+01,2.301378828655054054e-03
1.175879396984924696e+01,3.422426571737351153e-03
1.185929648241206102e+01,3.980946299541682221e-03
1.195979899497487509e+01,4.346056861531363662e-03
1.206030150753768915e+01,4.629590491118515047e-03
1.216080402010050321e+01,4.846724222391712855e-03
1.226130653266331727e+01,5.089888274461565332e-03
1.236180904522613133e+01,5.401250857804268390e-03
1.246231155778894539e+01,5.789341876744125148e-03
1.256281407035175945e+01,6.250458492820493150e-03
1.266331658291457352e+01,6.773578144469452611e-03
1.276381909547738758e+01,7.343920880079568558e-03
1.286432160804020164e+01,7.622228204235678706e-03
1.296482412060301570e+01,7.967921881295733644e-03
1.306532663316582976e+01,8.367934036996718672e-03
1.316582914572864382e+01,8.809067662710390323e-03
1.326633165829145788e+01,9.280528566041668093e-03
1.336683417085427195e+01,9.773369637475460073e-03
1.346733668341708601e+01,1.028009225347077497e-02
1.356783919597990007e+01,1.079440284001451610e-02
1.366834170854271413e+01,1.131112542235106731e-02
1.376884422110552819e+01,1.182628338716691999e-02
1.386934673366834225e+01,1.233736853898124985e-02
1.396984924623115631e+01,1.284382624102842381e-02
1.407035175879397038e+01,1.334482702785171754e-02
1.417085427135678444e+01,1.342144395461578391e-02
1.427135678391959850e+01,1.325898283565677543e-02
1.437185929648241256e+01,1.319125783191000233e-02
1.447236180904522662e+01,1.172200698334113431e-02
1.457286432160804068e+01,1.003898639184349316e-02
1.467336683417085474e+01,8.710899408898116134e-03
1.477386934673366881e+01,7.604925152282214842e-03
1.487437185929648287e+01,6.690455961897215191e-03
1.497487437185929693e+01,5.391191892087663327e-03
1.507537688442211099e+01,4.279984214442571905e-03
1.517587939698492505e+01,3.404160363569846796e-03
1.527638190954773911e+01,2.727940565444510104e-03
1.537688442211055317e+01,2.221523364501268999e-03
1.547738693467336724e+01,1.862925839305868596e-03
1.557788944723618130e+01,1.643504912614256143e-03
1.567839195979899536e+01,1.583188787034727884e-03
1.577889447236180942e+01,1.199973431994793898e-03
1.587939698492462348e+01,9.448596549261848321e-04
1.597989949748743754e+01,1.031722580905290992e-03
1.608040201005025338e+01,1.397562507741502685e-03
1.618090452261306567e+01,2.075996635323866524e-03
1.628140703517588150e+01,3.106529662770611197e-03
1.638190954773869379e+01,3.872808201839615921e-03
1.648241206030150963e+01,4.264564427047859950e-03
1.658291457286432191e+01,4.564009783463607306e-03
1.668341708542713775e+01,4.794884751548544877e-03
1.678391959798995003e+01,5.024240358552228836e-03
1.688442211055276587e+01,5.316939102267978501e-03
1.698492462311557816e+01,5.685564314061197777e-03
1.708542713567839400e+01,6.128992777913025436e-03
1.718592964824120628e+01,6.637682299075770009e-03
1.728643216080402212e+01,7.197534865141144711e-03
1.738693467336683440e+01,7.547697957611426700e-03
1.748743718592965024e+01,7.877091321658841183e-03
1.758793969849246253e+01,8.264623688843619753e-03
1.768844221105527836e+01,8.696380158576599850e-03
1.778894472361809065e+01,9.161014127120337136e-03
1.788944723618090649e+01,9.649151355816332903e-03
1.798994974874371877e+01,1.015295302342458447e-02
1.809045226130653461e+01,1.066583234880786289e-02
1.819095477386934689e+01,1.118232735086073862e-02
1.829145728643216273e+01,1.169813860005559578e-02
1.839195979899497502e+01,1.221034869668843025e-02
1.849246231155779085e+01,1.271785012381625689e-02
1.859296482412060314e+01,1.322201283311105063e-02
1.869346733668341898e+01,1.347569233441107787e-02
1.879396984924623126e+01,1.329206007472156711e-02
1.889447236180904710e+01,1.319858396291575045e-02
1.899497487437185939e+01,1.221598791874504118e-02
1.909547738693467522e+01,1.041222135476590344e-02
1.919597989949748751e+01,9.023087559600139612e-03
1.929648241206030335e+01,7.864168489273121523e-03
1.939698492462311563e+01,6.904256696235381956e-03
1.949748743718593147e+01,5.712777194819026842e-03
1.959798994974874375e+01,4.535997718705805752e-03
1.969849246231155959e+01,3.604519097395192211e-03
1.979899497487437188e+01,2.881111880096896404e-03
1.989949748743718771e+01,2.334385520642725999e-03
2.000000000000000000e+01,1.940070117182497332e-03
