time,Rspec_hyper
0.000000000000000000e+00,5.429818352220841732e-05
1.005025125628140753e-01,1.284356342713038890e-03
2.010050251256281506e-01,2.820991602712374924e-03
3.015075376884422398e-01,4.498976988434932878e-03
4.020100502512563012e-01,6.410756646760246147e-03
5.025125628140704181e-01,8.661488897570984724e-03
6.030150753768844796e-01,1.135436145787965811e-02
7.035175879396985410e-01,1.459159718296249020e-02
8.040201005025126024e-01,1.847651157370217012e-02
9.045226130653266639e-01,2.311637791175624734e-02
1.005025125628140836e+00,2.862710288454295426e-02
1.105527638190954898e+00,3.071439868276604201e-02
1.206030150753768959e+00,2.975002741600241141e-02
1.306532663316583021e+00,2.895781112658094014e-02
1.407035175879397082e+00,2.840870800461600676e-02
1.507537688442211143e+00,2.818484406243909612e-02
1.608040201005025205e+00,2.838167217143980348e-02
1.708542713567839266e+00,2.911584860531356289e-02
1.809045226130653328e+00,3.054985072461779971e-02
1.909547738693467389e+00,2.930060011618704219e-02
2.010050251256281673e+00,2.906975926098680912e-02
2.110552763819095734e+00,3.209309637976028029e-02
2.211055276381909795e+00,2.770141902827896047e-02
2.311557788944723857e+00,2.200686444289452065e-02
2.412060301507537918e+00,1.949710977231855491e-02
2.512562814070351980e+00,1.701197458164771525e-02
2.613065326633166041e+00,1.643731700951631125e-02
2.713567839195980103e+00,1.681739933348981586e-02
2.814070351758794164e+00,1.754167581913197715e-02
2.914572864321608225e+00,1.828430408278144959e-02
3.015075376884422287e+00,1.893621221799182686e-02
3.115577889447236348e+00,1.836195071160348635e-02
3.216080402010050410e+00,1.723343728782458784e-02
3.316582914572864471e+00,1.634725081067353591e-02
3.417085427135678533e+00,1.566151662123219102e-02
3.517587939698492594e+00,1.512868067300693342e-02
3.618090452261306655e+00,1.470861288016883650e-02
3.718592964824120717e+00,1.437413907053569639e-02
3.819095477386934778e+00,1.411202478299733443e-02
3.919597989949748840e+00,1.392190580496344143e-02
4.020100502512563345e+00,1.381458773679306029e-02
4.120603015075377407e+00,1.381039279362772376e-02
4.221105527638191468e+00,1.393780895229829175e-02
4.321608040201005529e+00,1.423250392676145282e-02
4.422110552763819591e+00,1.473665360575859840e-02
4.522613065326633652e+00,1.549850250413720154e-02
4.623115577889447714e+00,1.657206775651864916e-02
4.723618090452261775e+00,1.801692559705314611e-02
4.824120603015075837e+00,1.989808714817264956e-02
4.924623115577889898e+00,2.228608796251085877e-02
5.025125628140703959e+00,2.525759478512723533e-02
5.125628140703518021e+00,2.889707433290311656e-02
5.226130653266332082e+00,3.330036984327766625e-02
5.326633165829146144e+00,3.483169043127598563e-02
5.427135678391960205e+00,3.271975839595508972e-02
5.527638190954774267e+00,3.090141220704989422e-02
5.628140703517588328e+00,2.936463803433153608e-02
5.728643216080402389e+00,2.812322963348384830e-02
5.829145728643216451e+00,2.721376552114301850e-02
5.929648241206030512e+00,2.669527430510132415e-02
6.030150753768844574e+00,2.665234892022030899e-02
6.130653266331658635e+00,2.720295924867827120e-02
6.231155778894472697e+00,2.851433013753115753e-02
6.331658291457286758e+00,3.083862043238685957e-02
6.432160804020100819e+00,3.460544094569489859e-02
6.532663316582914881e+00,3.448710585092736730e-02
6.633165829145728942e+00,3.753408324149252323e-02
6.733668341708543004e+00,3.702854437487076988e-02
6.834170854271357065e+00,2.871880641066444986e-02
6.934673366834171127e+00,2.496144061697511130e-02
7.035175879396985188e+00,2.365518179610549832e-02
7.135678391959799249e+00,2.088761034147687545e-02
7.236180904522613311e+00,1.914140208253893582e-02
7.336683417085427372e+00,1.875415345901217112e-02
7.437185929648241434e+00,1.915545895499567997e-02
7.537688442211055495e+00,1.991274549362415103e-02
7.638190954773869557e+00,2.075582374395781859e-02
7.738693467336683618e+00,2.143203040791374914e-02
7.839195979899497679e+00,2.058643243600444261e-02
7.939698492462311741e+00,1.953418833353517958e-02
8.040201005025126690e+00,1.829938519429083477e-02
8.140703517587940752e+00,1.727368259797301686e-02
8.241206030150754813e+00,1.642938309899727445e-02
8.341708542713568875e+00,1.574396597341909398e-02
8.442211055276382936e+00,1.520337469903260130e-02
8.542713567839196998e+00,1.480347657593239497e-02
8.643216080402011059e+00,1.455019980737237706e-02
8.743718592964825120e+00,1.445900492095780754e-02
8.844221105527639182e+00,1.455414248955316792e-02
8.944723618090453243e+00,1.486793256725271739e-02
9.045226130653267305e+00,1.544015630660927618e-02
9.145728643216081366e+00,1.631755855712863079e-02
9.246231155778895427e+00,1.755344062612207434e-02
9.346733668341709489e+00,1.920734413661573381e-02
9.447236180904523550e+00,2.134491310664210495e-02
9.547738693467337612e+00,2.403816740650166484e-02
9.648241206030151673e+00,2.736663315622311909e-02
