time, Rtensor_laplacian
0.000000000000000000e+00,-2.752026885101233233e+01
1.005025125628140753e-01,-7.785027983079551461e+00
2.010050251256281506e-01,-5.489802236724321993e+00
3.015075376884422398e-01,-4.442655773774092154e+00
4.020100502512563012e-01,-3.809743913134171933e+00
5.025125628140704181e-01,-3.379543900234262210e+00
6.030150753768844796e-01,-3.070120520481336435e+00
7.035175879396985410e-01,-2.842177177466015614e+00
8.040201005025126024e-01,-2.674446890842069546e+00
9.045226130653266639e-01,-2.554689602582961072e+00
1.005025125628140836e+00,-2.475814887511517348e+00
1.105527638190954898e+00,-2.434026820598501395e+00
1.206030150753768959e+00,-2.427849271846780788e+00
1.306532663316583021e+00,-2.457533832788246997e+00
1.407035175879397082e+00,-2.524523830763846455e+00
1.507537688442211143e+00,-2.630737592687209414e+00
1.608040201005025205e+00,-2.777406727440129508e+00
1.708542713567839266e+00,-2.963351853106429346e+00
1.809045226130653328e+00,-3.183981113627108783e+00
1.909547738693467389e+00,-3.439649821579094713e+00
2.010050251256281673e+00,-3.770933424077486329e+00
2.110552763819095734e+00,-4.259884260426695768e+00
2.211055276381909795e+00,-4.894192941268999064e+00
2.311557788944723857e+00,-5.528873371732485609e+00
2.412060301507537918e+00,-6.002869034072832122e+00
2.512562814070351980e+00,-6.227432149989587273e+00
2.613065326633166041e+00,-6.218227241555171148e+00
2.713567839195980103e+00,-6.052454029145867942e+00
2.814070351758794164e+00,-5.800818189267322289e+00
2.914572864321608225e+00,-5.503511593786631906e+00
3.015075376884422287e+00,-5.179735293283355801e+00
3.115577889447236348e+00,-4.841153445870231664e+00
3.216080402010050410e+00,-4.498436700648644759e+00
3.316582914572864471e+00,-4.162026195277523044e+00
3.417085427135678533e+00,-3.840792754535776954e+00
3.517587939698492594e+00,-3.540969685361902819e+00
3.618090452261306655e+00,-3.266000414198325430e+00
3.718592964824120717e+00,-3.017027363326157285e+00
3.819095477386934778e+00,-2.793595309783838410e+00
3.919597989949748840e+00,-2.594296192791918809e+00
4.020100502512563345e+00,-2.417254622823261201e+00
4.120603015075377407e+00,-2.260451384060146562e+00
4.221105527638191468e+00,-2.121920290168429535e+00
4.321608040201005529e+00,-1.999857789303533195e+00
4.422110552763819591e+00,-1.892677324188465793e+00
4.522613065326633652e+00,-1.799031896695938215e+00
4.623115577889447714e+00,-1.717819166866784375e+00
4.723618090452261775e+00,-1.648179205092302535e+00
4.824120603015075837e+00,-1.589489917982987777e+00
4.924623115577889898e+00,-1.541364671414656939e+00
5.025125628140703959e+00,-1.503654217759812006e+00
5.125628140703518021e+00,-1.476455406070656728e+00
5.226130653266332082e+00,-1.460128742339956709e+00
5.326633165829146144e+00,-1.455326243979316869e+00
5.427135678391960205e+00,-1.463029227683923406e+00
5.527638190954774267e+00,-1.484588399323703900e+00
5.628140703517588328e+00,-1.521746198198373756e+00
5.728643216080402389e+00,-1.576600235916971071e+00
5.829145728643216451e+00,-1.651439641919334900e+00
5.929648241206030512e+00,-1.748348344269508914e+00
6.030150753768844574e+00,-1.868385191191476613e+00
6.130653266331658635e+00,-2.009975061605200342e+00
6.231155778894472697e+00,-2.165784995008376512e+00
6.331658291457286758e+00,-2.317696783670565974e+00
6.432160804020100819e+00,-2.437508028891696821e+00
6.532663316582914881e+00,-2.543807794830452274e+00
6.633165829145728942e+00,-2.780808069763063273e+00
6.733668341708543004e+00,-3.193273889395474630e+00
6.834170854271357065e+00,-3.666234421171900237e+00
6.934673366834171127e+00,-4.103690019070351802e+00
7.035175879396985188e+00,-4.476634382017902425e+00
7.135678391959799249e+00,-4.761875985025072033e+00
7.236180904522613311e+00,-4.920402313443087650e+00
7.336683417085427372e+00,-4.936858448761274332e+00
7.437185929648241434e+00,-4.835704282550651101e+00
7.537688442211055495e+00,-4.657217587666033332e+00
7.638190954773869557e+00,-4.435132209823768434e+00
7.738693467336683618e+00,-4.191396799309123899e+00
7.839195979899497679e+00,-3.939438151549663480e+00
7.939698492462311741e+00,-3.688007035919789178e+00
8.040201005025126690e+00,-3.443336226840497893e+00
8.140703517587940752e+00,-3.209969773595940268e+00
8.241206030150754813e+00,-2.991026697547988444e+00
8.341708542713568875e+00,-2.788364617324435635e+00
8.442211055276382936e+00,-2.602790344834215119e+00
8.542713567839196998e+00,-2.434317271077504063e+00
8.643216080402011059e+00,-2.282421429167918348e+00
8.743718592964825120e+00,-2.146261108874134571e+00
8.844221105527639182e+00,-2.024847810455348895e+00
8.944723618090453243e+00,-1.917169090907952844e+00
9.045226130653267305e+00,-1.822271921411517503e+00
9.145728643216081366e+00,-1.739316750944991830e+00
9.246231155778895427e+00,-1.667612418594013768e+00
9.346733668341709489e+00,-1.606638592023692524e+00
9.447236180904523550e+00,-1.556062094635654702e+00
9.547738693467337612e+00,-1.515751519111284029e+00
9.648241206030151673e+00,-1.485793901925297700e+00
9.748743718592965735e+00,-1.466516549637626898e+00
9.849246231155779796e+00,-1.458516836942237216e+00
9.949748743718593857e+00,-1.462701471292214839e+00
1.005025125628140792e+01,-1.480325766487937234e+00
1.015075376884422198e+01,-1.513030771067647162e+00
1.025125628140703604e+01,-1.562820676507878037e+00
1.035175879396985010e+01,-1.631941148028727362e+00
1.045226130653266416e+01,-1.722549076958335812e+00
1.055276381909547823e+01,-1.836015916543091819e+00
1.065326633165829229e+01,-1.971543553143763949e+00
