time,connectedness
0.000000000000000000e+00,1.724059983687076283e+02
1.005025125628140753e-01,6.129579201175242531e+01
2.010050251256281506e-01,4.679021751991908928e+01
3.015075376884422398e-01,3.983516249855171054e+01
4.020100502512563012e-01,3.550845427035867630e+01
5.025125628140704181e-01,3.252010913760619104e+01
6.030150753768844796e-01,3.035796335462150708e+01
7.035175879396985410e-01,2.877128900777886145e+01
8.040201005025126024e-01,2.762183065289886841e+01
9.045226130653266639e-01,2.682848097912667384e+01
1.005025125628140836e+00,2.634336530695428635e+01
1.105527638190954898e+00,2.614083042926026224e+01
1.206030150753768959e+00,2.621291966917407024e+01
1.306532663316583021e+00,2.656913334391442660e+01
1.407035175879397082e+00,2.724015074225015454e+01
1.507537688442211143e+00,2.828629855530066806e+01
1.608040201005025205e+00,2.981198479377451349e+01
1.708542713567839266e+00,3.198518785080352700e+01
1.809045226130653328e+00,3.504902429499187377e+01
1.909547738693467389e+00,3.927284088406154439e+01
2.010050251256281673e+00,4.472524945242649608e+01
2.110552763819095734e+00,5.085672087321523804e+01
2.211055276381909795e+00,5.647323522859842626e+01
2.311557788944723857e+00,6.055188061098100150e+01
2.412060301507537918e+00,6.265895127304354872e+01
2.512562814070351980e+00,6.276514572267322478e+01
2.613065326633166041e+00,6.129368151152771560e+01
2.713567839195980103e+00,5.888667526830810317e+01
2.814070351758794164e+00,5.602893709132675326e+01
2.914572864321608225e+00,5.296451665133405839e+01
3.015075376884422287e+00,4.979991080536778014e+01
3.115577889447236348e+00,4.660381089423480461e+01
3.216080402010050410e+00,4.344792670257320566e+01
3.316582914572864471e+00,4.040604195160780421e+01
3.417085427135678533e+00,3.754035322204500602e+01
3.517587939698492594e+00,3.489234395060639571e+01
3.618090452261306655e+00,3.248186007785697171e+01
3.718592964824120717e+00,3.031138178274397887e+01
3.819095477386934778e+00,2.837179526046274702e+01
3.919597989949748840e+00,2.664749747755159959e+01
4.020100502512563345e+00,2.512012001295893171e+01
4.120603015075377407e+00,2.377093086111390008e+01
4.221105527638191468e+00,2.258223586324863419e+01
4.321608040201005529e+00,2.153810835975070859e+01
4.422110552763819591e+00,2.062470549277725240e+01
4.522613065326633652e+00,1.983034560466034435e+01
4.623115577889447714e+00,1.914545714894016726e+01
4.723618090452261775e+00,1.856246468185871024e+01
4.824120603015075837e+00,1.807564909169708756e+01
4.924623115577889898e+00,1.768100245185388175e+01
5.025125628140703959e+00,1.737608977309866987e+01
5.125628140703518021e+00,1.715992865678995116e+01
5.226130653266332082e+00,1.703290234875421305e+01
5.326633165829146144e+00,1.699673430786604911e+01
5.427135678391960205e+00,1.705457354965908223e+01
5.527638190954774267e+00,1.721127581145571384e+01
5.628140703517588328e+00,1.747402459867863200e+01
5.728643216080402389e+00,1.785353486444763504e+01
5.829145728643216451e+00,1.836625300119044013e+01
5.929648241206030512e+00,1.903825498446651210e+01
6.030150753768844574e+00,1.991199159148025188e+01
6.130653266331658635e+00,2.105749888279679283e+01
6.231155778894472697e+00,2.258910763864270166e+01
6.331658291457286758e+00,2.468239643563689611e+01
6.432160804020100819e+00,2.756036019264197989e+01
6.532663316582914881e+00,3.135946307563289892e+01
6.633165829145728942e+00,3.580461433782048886e+01
6.733668341708543004e+00,4.007880162909396660e+01
6.834170854271357065e+00,4.355051946793157214e+01
6.934673366834171127e+00,4.633538935129712399e+01
