time,linear_connectedness
0.000000000000000000e+00,3.537297480441339417e+02
1.005025125628140753e-01,8.368842404852621542e+01
2.010050251256281506e-01,5.745344842304321276e+01
3.015075376884422398e-01,4.648734210790205168e+01
4.020100502512563012e-01,4.011188689811379504e+01
5.025125628140704181e-01,3.578381309511687647e+01
6.030150753768844796e-01,3.256962407423637273e+01
7.035175879396985410e-01,3.004220203607652806e+01
8.040201005025126024e-01,2.798393715850389540e+01
9.045226130653266639e-01,2.630307942576498093e+01
1.005025125628140836e+00,2.529242370568346843e+01
1.105527638190954898e+00,2.502274294813186373e+01
1.206030150753768959e+00,2.510609884237516809e+01
1.306532663316583021e+00,2.560062994869733188e+01
1.407035175879397082e+00,2.655330697983379906e+01
1.507537688442211143e+00,2.775639667365621932e+01
1.608040201005025205e+00,2.942474955613834453e+01
1.708542713567839266e+00,3.131615205387747736e+01
1.809045226130653328e+00,3.337018279697585399e+01
1.909547738693467389e+00,3.586799273908039254e+01
2.010050251256281673e+00,3.839773790650468754e+01
2.110552763819095734e+00,4.156331987472690770e+01
2.211055276381909795e+00,4.546471580017482950e+01
2.311557788944723857e+00,5.056902908310170375e+01
2.412060301507537918e+00,5.450757746582703334e+01
2.512562814070351980e+00,5.618160603108596263e+01
2.613065326633166041e+00,5.566650746552387830e+01
2.713567839195980103e+00,5.352551408501459207e+01
2.814070351758794164e+00,5.102573560753693727e+01
2.914572864321608225e+00,4.818102140459908611e+01
3.015075376884422287e+00,4.529637668081473834e+01
3.115577889447236348e+00,4.240052855906876772e+01
3.216080402010050410e+00,3.944736454166083206e+01
3.316582914572864471e+00,3.648650253569319091e+01
3.417085427135678533e+00,3.361545553656434038e+01
3.517587939698492594e+00,3.114533053823531716e+01
3.618090452261306655e+00,2.977577266643934095e+01
3.718592964824120717e+00,2.857771326588434491e+01
3.819095477386934778e+00,2.746916483686261046e+01
3.919597989949748840e+00,2.644158446965188602e+01
4.020100502512563345e+00,2.548969411729971313e+01
4.120603015075377407e+00,2.460688618465689359e+01
4.221105527638191468e+00,2.378552471381447475e+01
4.321608040201005529e+00,2.301770334533137685e+01
4.422110552763819591e+00,2.229583098305985089e+01
4.522613065326633652e+00,2.161304321155067498e+01
4.623115577889447714e+00,2.096360379541283336e+01
4.723618090452261775e+00,2.034373094691378014e+01
4.824120603015075837e+00,1.975548489021964471e+01
4.924623115577889898e+00,1.908176168790352278e+01
5.025125628140703959e+00,1.837590475782522859e+01
