time,linear_potential
0.000000000000000000e+00,3.308246018016867538e+02
1.005025125628140753e-01,8.525484641174773515e+01
2.010050251256281506e-01,5.752493712973383566e+01
3.015075376884422398e-01,4.496396097390863389e+01
4.020100502512563012e-01,3.736531450439041180e+01
5.025125628140704181e-01,3.215047695364548019e+01
6.030150753768844796e-01,2.831318915542511405e+01
7.035175879396985410e-01,2.535740819588347961e+01
8.040201005025126024e-01,2.299236376801957249e+01
9.045226130653266639e-01,2.099823728558559921e+01
1.005025125628140836e+00,1.936744739315463093e+01
1.105527638190954898e+00,1.796509698186484272e+01
1.206030150753768959e+00,1.743081574049435289e+01
1.306532663316583021e+00,1.740091221267906718e+01
1.407035175879397082e+00,1.717906575819148429e+01
1.507537688442211143e+00,1.842895732031028189e+01
1.608040201005025205e+00,1.971547030434757986e+01
1.708542713567839266e+00,2.127271672182736850e+01
1.809045226130653328e+00,2.308815607966331385e+01
1.909547738693467389e+00,2.466457792150201200e+01
2.010050251256281673e+00,3.022913979462878942e+01
2.110552763819095734e+00,3.713012080378909019e+01
2.211055276381909795e+00,4.245749907986513705e+01
2.311557788944723857e+00,4.488634273242465866e+01
2.412060301507537918e+00,5.018129551733790805e+01
2.512562814070351980e+00,5.545891435042084083e+01
2.613065326633166041e+00,5.585360107190211210e+01
2.713567839195980103e+00,5.330102614155206453e+01
2.814070351758794164e+00,4.925082526130815808e+01
2.914572864321608225e+00,4.693616762660953867e+01
3.015075376884422287e+00,4.500818074081244191e+01
3.115577889447236348e+00,4.269783760338065548e+01
3.216080402010050410e+00,4.010874015091793154e+01
3.316582914572864471e+00,3.732495627968607010e+01
3.417085427135678533e+00,3.442936243634687798e+01
3.517587939698492594e+00,3.148297302658813734e+01
3.618090452261306655e+00,2.908518378893229794e+01
3.718592964824120717e+00,2.671659812978914417e+01
3.819095477386934778e+00,2.451048100479726344e+01
3.919597989949748840e+00,2.249404672836989860e+01
4.020100502512563345e+00,2.067027413183572193e+01
4.120603015075377407e+00,1.903145429574750125e+01
4.221105527638191468e+00,1.756496006286449685e+01
4.321608040201005529e+00,1.625624164177954611e+01
4.422110552763819591e+00,1.509037515510540928e+01
4.522613065326633652e+00,1.405273081077852027e+01
4.623115577889447714e+00,1.312899512269704516e+01
4.723618090452261775e+00,1.230436709097101300e+01
4.824120603015075837e+00,1.155943954613742086e+01
4.924623115577889898e+00,1.105249074441401902e+01
5.025125628140703959e+00,1.068567318996495352e+01
5.125628140703518021e+00,1.034161780810051035e+01
5.226130653266332082e+00,1.000472429837494204e+01
5.326633165829146144e+00,9.629009991501339627e+00
5.427135678391960205e+00,9.179383132612381146e+00
5.527638190954774267e+00,9.543107420474827407e+00
5.628140703517588328e+00,1.008363563424298803e+01
5.728643216080402389e+00,1.042900875917003134e+01
5.829145728643216451e+00,1.095778109151332913e+01
5.929648241206030512e+00,1.180585557531019525e+01
6.030150753768844574e+00,1.264904520201882931e+01
6.130653266331658635e+00,1.356530354632500490e+01
6.231155778894472697e+00,1.458144171318328475e+01
6.331658291457286758e+00,1.563256224781706116e+01
6.432160804020100819e+00,1.631106663846133031e+01
6.532663316582914881e+00,1.835869863418795234e+01
6.633165829145728942e+00,2.609059960744288986e+01
6.733668341708543004e+00,3.136032951345436004e+01
6.834170854271357065e+00,3.279575739604793938e+01
6.934673366834171127e+00,2.946723964293918385e+01
7.035175879396985188e+00,3.216864001774558801e+01
7.135678391959799249e+00,3.920102577579811509e+01
7.236180904522613311e+00,4.283023139388259182e+01
7.336683417085427372e+00,4.348641469545400184e+01
7.437185929648241434e+00,4.194080949027989647e+01
7.537688442211055495e+00,3.896731735589096246e+01
7.638190954773869557e+00,3.760085077197008019e+01
7.738693467336683618e+00,3.598041644294649899e+01
7.839195979899497679e+00,3.409012401748773868e+01
7.939698492462311741e+00,3.203652540288310036e+01
8.040201005025126690e+00,2.978396747436522674e+01
8.140703517587940752e+00,2.794542689757879117e+01
8.241206030150754813e+00,2.605535880099002100e+01
8.341708542713568875e+00,2.419474950380742939e+01
8.442211055276382936e+00,2.241890184270056352e+01
8.542713567839196998e+00,2.075515406139532359e+01
8.643216080402011059e+00,1.921687262490148740e+01
8.743718592964825120e+00,1.780845098538811655e+01
8.844221105527639182e+00,1.652837196007885368e+01
8.944723618090453243e+00,1.537131862380718772e+01
9.045226130653267305e+00,1.432954964135693920e+01
9.145728643216081366e+00,1.339358053265418569e+01
9.246231155778895427e+00,1.255188095886308552e+01
9.346733668341709489e+00,1.178670813168328912e+01
9.447236180904523550e+00,1.127784623641343842e+01
9.547738693467337612e+00,1.090399848539566463e+01
9.648241206030151673e+00,1.055418032159388630e+01
9.748743718592965735e+00,1.021753480187067531e+01
9.849246231155779796e+00,9.859210192731023170e+00
9.949748743718593857e+00,9.334469465863211468e+00
1.005025125628140792e+01,9.359679499882897602e+00
1.015075376884422198e+01,9.960237059202780685e+00
1.025125628140703604e+01,1.034040439866257266e+01
1.035175879396985010e+01,1.062363201027907245e+01
1.045226130653266416e+01,1.152808354452088935e+01
1.055276381909547823e+01,1.236388670889954078e+01
1.065326633165829229e+01,1.325190012182443233e+01
1.075376884422110635e+01,1.423287740136996504e+01
1.085427135678392041e+01,1.527844447320902965e+01
1.095477386934673447e+01,1.612942293531893512e+01
1.105527638190954853e+01,1.703314601554252761e+01
1.115577889447236259e+01,2.377443228285608967e+01
1.125628140703517666e+01,2.978731325849172862e+01
1.135678391959799072e+01,3.226285559464465535e+01
1.145728643216080478e+01,3.059336654067490358e+01
1.155778894472361884e+01,2.850783247481119176e+01
1.165829145728643290e+01,3.647414600835328002e+01
1.175879396984924696e+01,4.118986145423812673e+01
1.185929648241206102e+01,4.296553106913911790e+01
1.195979899497487509e+01,4.228774496925367998e+01
1.206030150753768915e+01,3.986948415836653226e+01
1.216080402010050321e+01,3.853515139745914553e+01
