time,potential
0.000000000000000000e+00,2.801136519490652859e+02
1.005025125628140753e-01,1.196606726970760661e+02
2.010050251256281506e-01,9.205633476820523242e+01
3.015075376884422398e-01,7.831217681131028030e+01
4.020100502512563012e-01,6.965995864095144441e+01
5.025125628140704181e-01,6.365242914580520051e+01
6.030150753768844796e-01,5.928465588516477425e+01
7.035175879396985410e-01,5.605170135064491177e+01
8.040201005025126024e-01,5.366818953040438345e+01
9.045226130653266639e-01,5.196264267224098177e+01
1.005025125628140836e+00,5.083172495071681851e+01
1.105527638190954898e+00,5.021936852267879914e+01
1.206030150753768959e+00,5.010828172563913085e+01
1.306532663316583021e+00,5.051918300550367746e+01
1.407035175879397082e+00,5.151633974894912171e+01
1.507537688442211143e+00,5.321940438200973489e+01
1.608040201005025205e+00,5.582128958332657476e+01
1.708542713567839266e+00,5.960754486577621947e+01
1.809045226130653328e+00,6.495721007327817631e+01
1.909547738693467389e+00,7.226537118366766776e+01
2.010050251256281673e+00,8.167383333925519651e+01
2.110552763819095734e+00,9.259034677685316694e+01
2.211055276381909795e+00,1.034716507063261730e+02
2.311557788944723857e+00,1.123921544483695527e+02
2.412060301507537918e+00,1.177663531018716867e+02
2.512562814070351980e+00,1.189919090022039825e+02
2.613065326633166041e+00,1.168352716658233987e+02
2.713567839195980103e+00,1.126839916986387209e+02
2.814070351758794164e+00,1.075941873245100879e+02
2.914572864321608225e+00,1.020750807945069738e+02
3.015075376884422287e+00,9.631440608825982963e+01
3.115577889447236348e+00,9.041096236738979997e+01
3.216080402010050410e+00,8.448002786557114518e+01
3.316582914572864471e+00,7.866012704224361585e+01
3.417085427135678533e+00,7.308328857204540441e+01
3.517587939698492594e+00,6.785007762327653325e+01
3.618090452261306655e+00,6.302149639956263627e+01
3.718592964824120717e+00,5.862346395552887657e+01
3.819095477386934778e+00,5.465633343056003213e+01
3.919597989949748840e+00,5.110438799053719094e+01
4.020100502512563345e+00,4.794324542012221713e+01
4.120603015075377407e+00,4.514488719482021395e+01
4.221105527638191468e+00,4.268075030896039124e+01
4.321608040201005529e+00,4.052345289833056796e+01
4.422110552763819591e+00,3.864764654232241980e+01
4.522613065326633652e+00,3.703034905167530155e+01
4.623115577889447714e+00,3.565099638144938865e+01
4.723618090452261775e+00,3.449136806185288862e+01
4.824120603015075837e+00,3.353548590385651806e+01
4.924623115577889898e+00,3.276955249966952977e+01
5.025125628140703959e+00,3.218197843563989835e+01
5.125628140703518021e+00,3.176354094970577080e+01
5.226130653266332082e+00,3.150771954139196041e+01
5.326633165829146144e+00,3.141126892131768855e+01
5.427135678391960205e+00,3.147511725728722709e+01
5.527638190954774267e+00,3.170572548568834037e+01
5.628140703517588328e+00,3.211712176419639064e+01
5.728643216080402389e+00,3.273393814590399131e+01
5.829145728643216451e+00,3.359594949246734785e+01
5.929648241206030512e+00,3.476478281829109562e+01
6.030150753768844574e+00,3.633349696648267013e+01
6.130653266331658635e+00,3.843899622350041057e+01
6.231155778894472697e+00,4.127384599990008951e+01
6.331658291457286758e+00,4.508315160203171246e+01
6.432160804020100819e+00,5.010553198208776848e+01
6.532663316582914881e+00,5.638423171189447913e+01
6.633165829145728942e+00,6.345931452151538821e+01
6.733668341708543004e+00,7.038910733557054300e+01
6.834170854271357065e+00,7.660317052341515875e+01
6.934673366834171127e+00,8.238041717235164185e+01
7.035175879396985188e+00,8.781376436115571948e+01
7.135678391959799249e+00,9.207502009971872781e+01
7.236180904522613311e+00,9.416171227594050208e+01
7.336683417085427372e+00,9.384270331956545874e+01
7.437185929648241434e+00,9.163579044119950368e+01
7.537688442211055495e+00,8.824504713156737523e+01
7.638190954773869557e+00,8.420778132865910948e+01
7.738693467336683618e+00,7.985244262481374733e+01
7.839195979899497679e+00,7.537399325752106449e+01
7.939698492462311741e+00,7.090241796494426296e+01
8.040201005025126690e+00,6.653669599412188518e+01
8.140703517587940752e+00,6.235495066386933161e+01
8.241206030150754813e+00,5.841543080531869236e+01
8.341708542713568875e+00,5.475673141817788547e+01
8.442211055276382936e+00,5.139981883315208222e+01
8.542713567839196998e+00,4.835151429378777976e+01
8.643216080402011059e+00,4.560839133964453396e+01
8.743718592964825120e+00,4.316029657623674609e+01
8.844221105527639182e+00,4.099314017757921391e+01
8.944723618090453243e+00,3.909091662388838984e+01
9.045226130653267305e+00,3.743706875389469957e+01
9.145728643216081366e+00,3.601536068700646354e+01
9.246231155778895427e+00,3.481041686366641841e+01
9.346733668341709489e+00,3.380805957424526298e+01
9.447236180904523550e+00,3.299554895915151320e+01
9.547738693467337612e+00,3.236180819118069252e+01
9.648241206030151673e+00,3.189770108302470319e+01
9.748743718592965735e+00,3.159642523729543839e+01
9.849246231155779796e+00,3.145408940709636170e+01
9.949748743718593857e+00,3.147056390684854321e+01
1.005025125628140792e+01,3.165073174378981591e+01
1.015075376884422198e+01,3.200633426358175626e+01
1.025125628140703604e+01,3.255870950329549629e+01
1.035175879396985010e+01,3.334286772742942162e+01
1.045226130653266416e+01,3.441353158746235863e+01
1.055276381909547823e+01,3.585385540010201311e+01
1.065326633165829229e+01,3.778707179963432594e+01
1.075376884422110635e+01,4.038886739829583661e+01
1.085427135678392041e+01,4.388987411831533336e+01
1.095477386934673447e+01,4.853551604459790525e+01
1.105527638190954853e+01,5.443467273973335097e+01
1.115577889447236259e+01,6.126180668787077366e+01
1.125628140703517666e+01,6.812925890526629757e+01
1.135678391959799072e+01,7.427955499141702944e+01
1.145728643216080478e+01,7.989411100699192048e+01
1.155778894472361884e+01,8.537908549012873038e+01
