time,potential_global
0.000000000000000000e+00,4.909957059714706702e+02
1.005025125628140753e-01,1.790681539935272326e+02
2.010050251256281506e-01,1.348363793476034687e+02
3.015075376884422398e-01,1.134888612248660706e+02
4.020100502512563012e-01,1.002173499354015718e+02
5.025125628140704181e-01,9.106533827861316865e+01
6.030150753768844796e-01,8.444942579342139766e+01
7.035175879396985410e-01,7.959156949284873406e+01
8.040201005025126024e-01,7.606215727786482717e+01
9.045226130653266639e-01,7.360942237251136078e+01
1.005025125628140836e+00,7.208536220809081385e+01
1.105527638190954898e+00,7.141103833022820879e+01
1.206030150753768959e+00,7.156093350419708088e+01
1.306532663316583021e+00,7.255865418213485896e+01
1.407035175879397082e+00,7.448142712995972659e+01
1.507537688442211143e+00,7.747326194001742294e+01
1.608040201005025205e+00,8.176692324964312775e+01
1.708542713567839266e+00,8.770965669844719059e+01
1.809045226130653328e+00,9.576512231385171958e+01
1.909547738693467389e+00,1.064003474704913970e+02
2.010050251256281673e+00,1.196801120201280071e+02
2.110552763819095734e+00,1.345911687561535928e+02
2.211055276381909795e+00,1.489855952772005878e+02
2.311557788944723857e+00,1.606485716902505487e+02
2.412060301507537918e+00,1.677996432795023338e+02
2.512562814070351980e+00,1.695048051242315807e+02
2.613065326633166041e+00,1.665642971797926464e+02
2.713567839195980103e+00,1.607818502870835857e+02
2.814070351758794164e+00,1.536079946682327204e+02
2.914572864321608225e+00,1.457644484473576654e+02
3.015075376884422287e+00,1.375336302258159833e+02
3.115577889447236348e+00,1.290784936049822988e+02
3.216080402010050410e+00,1.205855471599316644e+02
3.316582914572864471e+00,1.122691527014854529e+02
3.417085427135678533e+00,1.043266134418003048e+02
3.517587939698492594e+00,9.690288473411735026e+01
3.618090452261306655e+00,9.008097796774657695e+01
3.718592964824120717e+00,8.389067429598321723e+01
3.819095477386934778e+00,7.832405471331209412e+01
3.919597989949748840e+00,7.335041328562461160e+01
4.020100502512563345e+00,6.892766554667500145e+01
4.120603015075377407e+00,6.500999729672685135e+01
4.221105527638191468e+00,6.155251926140162766e+01
4.321608040201005529e+00,5.851384248257413390e+01
4.422110552763819591e+00,5.585733916589431658e+01
4.522613065326633652e+00,5.355162554534705066e+01
4.623115577889447714e+00,5.157061904926706575e+01
4.723618090452261775e+00,4.989338919477096113e+01
